PrDM,T090C,T190C,C0S/m,C1S/m,Sbeox0V,Sbeox1V,FlECO-AFL,TurbWETntu0,AltM,DepSM,Dz/dtM,Sal00,Sal11,Sbeox0ML/L,Sbeox1ML/L,Density00,Density11,SvCM,SvCM1,Flag
2.000,13.3633,13.3620,3.900060,3.899878,2.5956,2.3629,3.6012,0.1880,98.90,1.985,0.357,32.8164,32.8158,6.1751,6.0135,1024.6385,1024.6383,1498.85,1498.84,0.0000e+00
3.000,13.3705,13.3700,3.900651,3.900633,2.5984,2.3688,3.5041,0.2111,98.90,2.977,0.503,32.8154,32.8156,6.1799,6.0316,1024.6407,1024.6410,1498.89,1498.89,0.0000e+00
4.000,13.3706,13.3702,3.900708,3.900694,2.5944,2.3663,3.3686,0.2190,98.90,3.970,0.587,32.8154,32.8156,6.1669,6.0122,1024.6453,1024.6454,1498.91,1498.91,0.0000e+00
5.000,13.2802,13.2813,3.893925,3.896049,2.5951,2.3588,3.3212,0.2276,98.90,4.962,0.425,32.8293,32.8484,6.1905,6.0079,1024.6785,1024.6931,1498.64,1498.66,0.0000e+00
6.000,12.8628,12.8658,3.862090,3.867220,2.5948,2.3586,3.4388,0.2397,98.90,5.955,0.652,32.8901,32.9362,6.2239,6.0599,1024.8126,1024.8477,1497.33,1497.40,0.0000e+00
7.000,12.7388,12.7382,3.852178,3.853528,2.5895,2.3551,3.4529,0.2582,98.90,6.947,0.678,32.9036,32.9170,6.2110,6.0632,1024.8517,1024.8622,1496.95,1496.96,0.0000e+00
8.000,12.6841,12.6834,3.847007,3.848591,2.5826,2.3531,3.4548,0.2296,92.14,7.940,0.523,32.9017,32.9174,6.1902,6.0561,1024.8654,1024.8776,1496.78,1496.79,0.0000e+00
9.000,12.6053,12.6056,3.840484,3.841839,2.5713,2.3438,3.4295,0.2068,97.06,8.932,0.550,32.9079,32.9206,6.1487,6.0213,1024.8899,1024.8997,1496.54,1496.55,0.0000e+00
10.000,12.5080,12.5083,3.832729,3.834430,2.5579,2.3362,3.2788,0.1994,98.87,9.925,0.586,32.9186,32.9346,6.1157,6.0047,1024.9215,1024.9338,1496.24,1496.26,0.0000e+00
11.000,12.4471,12.4476,3.828025,3.828894,2.5436,2.3234,3.0472,0.1820,91.28,10.917,0.517,32.9265,32.9344,6.0667,5.9567,1024.9438,1024.9497,1496.06,1496.07,0.0000e+00
12.000,12.3293,12.3224,3.818355,3.820442,2.5239,2.3084,2.9265,0.1822,99.13,11.910,0.613,32.9367,32.9629,6.0213,5.9214,1024.9787,1025.0003,1495.68,1495.69,0.0000e+00
13.000,12.1764,12.1759,3.806391,3.808104,2.5124,2.2979,2.7468,0.1669,89.82,12.902,0.712,32.9558,32.9727,6.0346,5.9224,1025.0270,1025.0402,1495.20,1495.22,0.0000e+00
14.000,12.1284,12.1287,3.803360,3.804189,2.5069,2.2920,2.5968,0.1502,98.21,13.894,0.501,32.9685,32.9761,6.0624,5.9296,1025.0504,1025.0563,1495.07,1495.08,0.0000e+00
15.000,12.0923,12.0920,3.801366,3.801933,2.5083,2.2886,2.4595,0.1505,95.30,14.887,0.519,32.9806,32.9863,6.0923,5.9410,1025.0712,1025.0757,1494.98,1494.98,0.0000e+00
16.000,12.0857,12.0851,3.802038,3.802156,2.5097,2.2890,2.4083,0.1219,95.98,15.879,0.588,32.9925,32.9942,6.0951,5.9512,1025.0861,1025.0875,1494.98,1494.98,0.0000e+00
17.000,12.0884,12.0881,3.802996,3.803133,2.5109,2.2904,2.4880,0.1754,98.85,16.872,0.882,32.9990,33.0006,6.1023,5.9580,1025.0951,1025.0964,1495.02,1495.02,0.0000e+00
18.000,12.0845,12.0836,3.803522,3.803779,2.5124,2.2913,2.5924,0.1710,94.21,17.864,0.580,33.0071,33.0104,6.1067,5.9643,1025.1067,1025.1094,1495.03,1495.03,0.0000e+00
19.000,12.0507,12.0498,3.800806,3.801623,2.4991,2.2835,2.5214,0.1423,97.80,18.856,0.470,33.0103,33.0190,6.0439,5.9161,1025.1200,1025.1269,1494.94,1494.94,0.0000e+00
20.000,11.9666,11.9627,3.794827,3.795446,2.4921,2.2748,2.4862,0.1505,96.42,19.849,0.795,33.0264,33.0359,6.0319,5.8923,1025.1528,1025.1609,1494.68,1494.68,0.0000e+00
21.000,11.9289,11.9283,3.791984,3.792685,2.4887,2.2722,2.4420,0.1383,98.88,20.841,0.796,33.0319,33.0393,6.0295,5.9014,1025.1687,1025.1745,1494.57,1494.58,0.0000e+00
22.000,11.8883,11.8878,3.789600,3.790046,2.4865,2.2714,2.2869,0.1398,98.62,21.834,0.663,33.0443,33.0491,6.0321,5.9099,1025.1904,1025.1942,1494.47,1494.47,0.0000e+00
23.000,11.8556,11.8561,3.787773,3.788171,2.4833,2.2688,2.1511,0.1210,97.56,22.826,0.466,33.0552,33.0587,6.0272,5.8981,1025.2094,1025.2120,1494.38,1494.39,0.0000e+00
24.000,11.8180,11.8191,3.785896,3.786421,2.4805,2.2643,2.1562,0.1196,98.96,23.818,0.641,33.0700,33.0741,6.0214,5.8935,1025.2324,1025.2354,1494.29,1494.30,0.0000e+00
25.000,11.7964,11.7911,3.784994,3.785073,2.4766,2.2642,2.1112,0.1291,98.55,24.811,0.761,33.0800,33.0855,6.0157,5.9063,1025.2487,1025.2540,1494.24,1494.23,0.0000e+00
26.000,11.7810,11.7801,3.784472,3.784592,2.4763,2.2650,2.0883,0.1347,98.89,25.803,0.450,33.0883,33.0902,6.0294,5.9138,1025.2625,1025.2641,1494.22,1494.22,0.0000e+00
27.000,11.7829,11.7819,3.784597,3.784652,2.4765,2.2658,2.0368,0.1158,98.90,26.796,0.571,33.0873,33.0888,6.0286,5.9129,1025.2659,1025.2672,1494.24,1494.24,0.0000e+00
28.000,11.7677,11.7675,3.784221,3.784354,2.4753,2.2647,2.1309,0.1330,98.90,27.788,0.553,33.0968,33.0982,6.0189,5.9045,1025.2805,1025.2817,1494.21,1494.21,0.0000e+00
29.000,11.7245,11.7251,3.781931,3.782812,2.4685,2.2551,2.0412,0.1258,98.90,28.780,0.525,33.1125,33.1207,5.9916,5.8559,1025.3053,1025.3115,1494.10,1494.11,0.0000e+00
30.000,11.6124,11.6119,3.775430,3.776512,2.4640,2.2500,2.0442,0.1461,98.90,29.773,0.756,33.1488,33.1598,5.9830,5.8596,1025.3587,1025.3673,1493.77,1493.78,0.0000e+00
31.000,11.5048,11.5080,3.768445,3.770166,2.4578,2.2464,2.1555,0.1489,98.90,30.765,0.681,33.1764,33.1903,5.9830,5.8701,1025.4044,1025.4146,1493.45,1493.48,0.0000e+00
32.000,11.4165,11.4167,3.762558,3.763509,2.4551,2.2449,1.9327,0.1435,98.90,31.757,0.587,33.1974,33.2066,5.9982,5.8816,1025.4414,1025.4485,1493.18,1493.19,0.0000e+00
33.000,11.3595,11.3626,3.759118,3.760071,2.4462,2.2363,1.9227,0.1258,98.90,32.750,0.482,33.2144,33.2210,5.9603,5.8447,1025.4695,1025.4740,1493.02,1493.04,0.0000e+00
34.000,11.3120,11.3106,3.755907,3.756468,2.4380,2.2299,1.8359,0.1291,98.90,33.742,0.918,33.2251,33.2319,5.9378,5.8290,1025.4910,1025.4965,1492.89,1492.89,0.0000e+00
35.000,11.2682,11.2661,3.753135,3.754159,2.4348,2.2269,1.8862,0.1593,98.90,34.734,0.853,33.2369,33.2489,5.9432,5.8296,1025.5126,1025.5223,1492.76,1492.77,0.0000e+00
36.000,11.2051,11.2046,3.750229,3.750540,2.4243,2.2199,1.8428,0.1475,98.90,35.727,0.432,33.2647,33.2683,5.8811,5.7926,1025.5501,1025.5530,1492.59,1492.60,0.0000e+00
37.000,11.1658,11.1675,3.748598,3.749414,2.3987,2.2010,1.8150,0.1425,98.90,36.719,0.609,33.2837,33.2902,5.7286,5.6683,1025.5765,1025.5812,1492.49,1492.51,0.0000e+00
38.000,10.9918,10.9939,3.736198,3.738938,2.3719,2.1765,1.7064,0.1603,98.90,37.711,0.673,33.3181,33.3433,5.6452,5.5828,1025.6390,1025.6582,1491.94,1491.98,0.0000e+00
39.000,10.8162,10.8182,3.722754,3.725566,2.3457,2.1529,1.6038,0.1294,98.90,38.703,0.641,33.3436,33.3698,5.6093,5.5399,1025.6946,1025.7146,1491.37,1491.41,0.0000e+00
40.000,10.6460,10.6483,3.708985,3.710688,2.3252,2.1328,1.5179,0.1131,98.90,39.696,0.497,33.3609,33.3759,5.6017,5.5261,1025.7425,1025.7538,1490.80,1490.83,0.0000e+00
41.000,10.6088,10.6096,3.707446,3.707970,2.3003,2.1129,1.4883,0.1061,98.90,40.688,0.444,33.3790,33.3835,5.5054,5.4541,1025.7677,1025.7710,1490.71,1490.72,0.0000e+00
42.000,10.4691,10.4739,3.694917,3.698600,2.2717,2.0879,1.4962,0.1096,98.90,41.680,0.579,33.3808,33.4134,5.4267,5.3688,1025.7978,1025.8224,1490.23,1490.29,0.0000e+00
43.000,10.2806,10.2829,3.678282,3.680579,2.2515,2.0685,1.4378,0.1026,98.90,42.673,0.616,33.3858,33.4070,5.3932,5.3338,1025.8389,1025.8550,1489.58,1489.61,0.0000e+00
44.000,10.1275,10.1315,3.664783,3.667354,2.2232,2.0448,1.4271,0.0973,98.90,43.665,0.404,33.3898,33.4122,5.2861,5.2523,1025.8726,1025.8894,1489.05,1489.09,0.0000e+00
45.000,9.8620,9.8655,3.640916,3.644316,2.1679,1.9979,1.3768,0.1064,98.90,44.657,0.557,33.3921,33.4236,5.1265,5.0961,1025.9237,1025.9477,1488.12,1488.17,0.0000e+00
46.000,9.7637,9.7634,3.632406,3.633549,2.1481,1.9780,1.3493,0.0992,98.90,45.650,0.678,33.3958,33.4078,5.1474,5.0826,1025.9476,1025.9570,1487.78,1487.80,0.0000e+00
47.000,9.7430,9.7428,3.631270,3.631706,2.1399,1.9657,1.3738,0.1096,98.90,46.642,0.494,33.4030,33.4076,5.1902,5.0976,1025.9611,1025.9648,1487.73,1487.74,0.0000e+00
48.000,9.7499,9.7477,3.633041,3.632954,2.1356,1.9610,1.3444,0.0891,98.90,47.634,0.555,33.4143,33.4154,5.1651,5.1024,1025.9734,1025.9746,1487.79,1487.78,0.0000e+00
49.000,9.7292,9.7354,3.631284,3.632682,2.1250,1.9559,1.3354,0.0969,98.90,48.626,0.547,33.4151,33.4236,5.1103,5.0679,1025.9820,1025.9876,1487.73,1487.76,0.0000e+00
50.000,9.6882,9.6917,3.627107,3.628227,2.1106,1.9439,1.3605,0.1061,98.90,49.619,0.417,33.4099,33.4181,5.0692,5.0176,1025.9893,1025.9951,1487.59,1487.61,0.0000e+00
51.000,9.6627,9.6617,3.624570,3.624864,2.0956,1.9286,1.3867,0.0965,98.90,50.611,0.370,33.4072,33.4111,5.0574,4.9802,1025.9959,1025.9991,1487.51,1487.51,0.0000e+00
