PrDM,T090C,T190C,C0S/m,C1S/m,Sbeox0V,Sbeox1V,FlECO-AFL,TurbWETntu0,AltM,DepSM,Dz/dtM,Sal00,Sal11,Sbeox0ML/L,Sbeox1ML/L,Density00,Density11,SvCM,SvCM1,Flag
2.000,12.0661,12.0690,3.867148,3.867368,2.4089,2.1953,3.3284,0.1481,131.95,1.985,0.203,33.6463,33.6458,5.7560,5.6015,1025.5343,1025.5333,1495.47,1495.47,0.0000e+00
3.000,12.0678,12.0673,3.867330,3.867317,2.4108,2.1974,2.9922,0.1302,58.59,2.978,0.312,33.6460,33.6463,5.7485,5.6097,1025.5382,1025.5386,1495.49,1495.49,0.0000e+00
4.000,12.0641,12.0657,3.867122,3.867308,2.4064,2.1988,2.9456,0.1340,24.84,3.971,0.695,33.6469,33.6473,5.7376,5.6103,1025.5441,1025.5441,1495.49,1495.50,0.0000e+00
5.000,12.0591,12.0599,3.866796,3.867004,2.4068,2.1981,3.0013,0.1429,97.93,4.963,0.829,33.6479,33.6492,5.7448,5.6055,1025.5503,1025.5512,1495.49,1495.50,0.0000e+00
6.000,12.0533,12.0525,3.866420,3.866442,2.4073,2.1951,3.0546,0.1549,98.90,5.956,0.663,33.6490,33.6500,5.7398,5.5945,1025.5568,1025.5577,1495.49,1495.49,0.0000e+00
7.000,12.0513,12.0531,3.866313,3.866444,2.4038,2.1931,3.0260,0.1483,98.90,6.949,0.607,33.6494,33.6490,5.7127,5.5877,1025.5619,1025.5613,1495.50,1495.51,0.0000e+00
8.000,12.0538,12.0545,3.866571,3.866608,2.3995,2.1897,3.0283,0.1788,98.90,7.941,0.881,33.6492,33.6489,5.6961,5.5755,1025.5658,1025.5655,1495.53,1495.53,0.0000e+00
9.000,12.0302,12.0286,3.864664,3.865644,2.3955,2.1879,2.9816,0.1378,72.30,8.934,0.905,33.6516,33.6626,5.6893,5.5758,1025.5767,1025.5854,1495.47,1495.47,0.0000e+00
10.000,11.9926,11.9904,3.861903,3.861745,2.3925,2.1865,3.0707,0.1615,97.62,9.927,0.595,33.6583,33.6587,5.6918,5.5781,1025.5934,1025.5942,1495.36,1495.35,0.0000e+00
11.000,11.9637,11.9664,3.859605,3.860392,2.3891,2.1835,3.0069,0.1325,98.90,10.919,0.650,33.6616,33.6668,5.6908,5.5707,1025.6060,1025.6095,1495.28,1495.30,0.0000e+00
12.000,11.9612,11.9624,3.859496,3.859713,2.3870,2.1819,3.0005,0.1423,98.90,11.912,0.818,33.6624,33.6634,5.6967,5.5686,1025.6115,1025.6121,1495.29,1495.30,0.0000e+00
13.000,11.9596,11.9585,3.859409,3.859421,2.3884,2.1805,3.1000,0.1594,98.00,12.904,0.699,33.6626,33.6637,5.7084,5.5655,1025.6165,1025.6176,1495.30,1495.30,0.0000e+00
14.000,11.9594,11.9593,3.859459,3.859501,2.3888,2.1784,3.0895,0.1354,83.07,13.897,0.650,33.6628,33.6633,5.6960,5.5637,1025.6212,1025.6216,1495.32,1495.32,0.0000e+00
15.000,11.9655,11.9652,3.860005,3.859964,2.3856,2.1790,3.0265,0.1244,98.87,14.890,0.828,33.6622,33.6621,5.6602,5.5639,1025.6241,1025.6240,1495.36,1495.36,0.0000e+00
16.000,11.9640,11.9595,3.859902,3.859853,2.3789,2.1772,3.0236,0.1375,98.89,15.882,0.799,33.6622,33.6657,5.6150,5.5404,1025.6288,1025.6324,1495.37,1495.36,0.0000e+00
17.000,11.9402,11.9388,3.857953,3.858620,2.3655,2.1693,3.0489,0.1339,98.90,16.875,0.621,33.6642,33.6720,5.5487,5.4855,1025.6394,1025.6457,1495.30,1495.31,0.0000e+00
18.000,11.8308,11.8288,3.849061,3.849722,2.3460,2.1541,3.0580,0.1302,98.90,17.867,0.711,33.6762,33.6845,5.4817,5.4211,1025.6738,1025.6806,1494.96,1494.96,0.0000e+00
19.000,11.7489,11.7414,3.841888,3.843048,2.3293,2.1386,3.0888,0.1359,98.90,18.860,0.761,33.6801,33.6982,5.4290,5.3690,1025.6966,1025.7121,1494.70,1494.69,0.0000e+00
20.000,11.5281,11.5245,3.822145,3.824071,2.2866,2.1013,3.0425,0.1226,98.90,19.853,0.465,33.6869,33.7091,5.3349,5.2733,1025.7473,1025.7652,1493.96,1493.97,0.0000e+00
21.000,11.3256,11.3320,3.803988,3.805863,2.2386,2.0573,2.8091,0.1228,98.90,20.845,0.667,33.6924,33.7051,5.2577,5.1742,1025.7933,1025.8019,1493.28,1493.32,0.0000e+00
22.000,11.2595,11.2643,3.797965,3.799325,2.2095,2.0313,2.5300,0.1159,98.90,21.838,0.900,33.6929,33.7020,5.1461,5.0735,1025.8102,1025.8164,1493.07,1493.09,0.0000e+00
23.000,11.2381,11.2380,3.795980,3.796503,2.1883,2.0100,2.3526,0.0987,98.26,22.830,0.526,33.6925,33.6977,5.0963,5.0297,1025.8183,1025.8224,1493.01,1493.01,0.0000e+00
24.000,11.2065,11.2076,3.793194,3.794088,2.1709,1.9954,2.1913,0.1024,98.91,23.823,0.930,33.6934,33.7012,5.0434,4.9879,1025.8292,1025.8351,1492.92,1492.93,0.0000e+00
25.000,11.1506,11.1513,3.788133,3.789655,2.1619,1.9881,2.1327,0.1062,98.90,24.815,0.818,33.6941,33.7084,5.0313,4.9713,1025.8443,1025.8554,1492.74,1492.76,0.0000e+00
26.000,11.0991,11.0998,3.784039,3.784567,2.1487,1.9741,2.1284,0.1126,98.79,25.808,0.388,33.7002,33.7048,5.0227,4.9438,1025.8629,1025.8663,1492.58,1492.59,0.0000e+00
27.000,11.0549,11.0577,3.780559,3.781490,2.1388,1.9629,2.1838,0.0889,98.72,26.801,0.644,33.7058,33.7125,5.0055,4.9275,1025.8797,1025.8844,1492.45,1492.47,0.0000e+00
28.000,11.0397,11.0399,3.779408,3.779824,2.1332,1.9594,2.0881,0.0966,98.90,27.793,0.712,33.7079,33.7118,4.9971,4.9296,1025.8886,1025.8916,1492.41,1492.42,0.0000e+00
29.000,11.0233,11.0244,3.778216,3.778557,2.1283,1.9565,2.1668,0.0919,98.90,28.786,0.480,33.7107,33.7130,4.9954,4.9241,1025.8982,1025.8999,1492.37,1492.38,0.0000e+00
30.000,11.0054,11.0066,3.776732,3.777471,2.1241,1.9527,2.1715,0.0921,98.90,29.778,0.834,33.7119,33.7181,4.9852,4.9103,1025.9069,1025.9115,1492.33,1492.34,0.0000e+00
31.000,10.9874,10.9876,3.775370,3.775618,2.1215,1.9494,2.1624,0.0914,98.90,30.771,0.560,33.7144,33.7167,4.9845,4.9058,1025.9166,1025.9184,1492.29,1492.29,0.0000e+00
32.000,10.9806,10.9806,3.774867,3.775050,2.1177,1.9461,2.2038,0.1015,98.90,31.763,0.779,33.7153,33.7171,4.9811,4.9035,1025.9230,1025.9244,1492.28,1492.28,0.0000e+00
33.000,10.9801,10.9799,3.774867,3.774976,2.1175,1.9452,2.1161,0.0935,98.90,32.756,0.711,33.7153,33.7165,4.9855,4.9017,1025.9276,1025.9286,1492.30,1492.30,0.0000e+00
34.000,10.9802,10.9797,3.774971,3.774969,2.1183,1.9441,2.1934,0.0887,98.90,33.748,0.437,33.7157,33.7163,4.9882,4.9006,1025.9325,1025.9330,1492.31,1492.31,0.0000e+00
35.000,10.9790,10.9787,3.774913,3.774958,2.1174,1.9440,2.1656,0.0802,98.90,34.741,0.713,33.7158,33.7166,4.9834,4.8981,1025.9373,1025.9379,1492.33,1492.33,0.0000e+00
36.000,10.9760,10.9760,3.774716,3.774817,2.1166,1.9422,2.1396,0.1073,98.90,35.733,0.520,33.7162,33.7172,4.9806,4.8944,1025.9426,1025.9434,1492.33,1492.33,0.0000e+00
37.000,10.9709,10.9706,3.774310,3.774375,2.1143,1.9417,2.2512,0.0875,98.90,36.726,0.884,33.7165,33.7173,4.9786,4.9006,1025.9482,1025.9490,1492.33,1492.33,0.0000e+00
38.000,10.9698,10.9693,3.774289,3.774308,2.1134,1.9415,2.1906,0.0966,98.90,37.718,0.658,33.7168,33.7174,4.9774,4.8951,1025.9532,1025.9538,1492.34,1492.34,0.0000e+00
39.000,10.9687,10.9688,3.774256,3.774326,2.1126,1.9392,2.2513,0.0997,86.90,38.711,0.737,33.7170,33.7177,4.9715,4.8916,1025.9581,1025.9586,1492.36,1492.36,0.0000e+00
40.000,10.9682,10.9682,3.774279,3.774290,2.1129,1.9400,2.1991,0.0880,82.26,39.703,0.429,33.7173,33.7174,4.9808,4.8929,1025.9629,1025.9630,1492.37,1492.37,0.0000e+00
41.000,10.9674,10.9674,3.774263,3.774279,2.1136,1.9383,2.2406,0.0984,98.20,40.696,0.467,33.7175,33.7176,4.9788,4.8795,1025.9677,1025.9678,1492.39,1492.39,0.0000e+00
42.000,10.9658,10.9651,3.774193,3.774175,2.1128,1.9357,2.2529,0.1070,98.90,41.688,0.389,33.7178,33.7182,4.9782,4.8767,1025.9727,1025.9732,1492.40,1492.39,0.0000e+00
43.000,10.9653,10.9652,3.774208,3.774189,2.1121,1.9358,2.2552,0.0935,98.90,42.681,0.552,33.7179,33.7178,4.9749,4.8863,1025.9774,1025.9774,1492.41,1492.41,0.0000e+00
44.000,10.9601,10.9611,3.773864,3.774000,2.1121,1.9372,2.1795,0.0910,98.90,43.673,0.466,33.7189,33.7192,4.9737,4.8913,1025.9836,1025.9837,1492.41,1492.42,0.0000e+00
45.000,10.9595,10.9595,3.773844,3.773839,2.1085,1.9368,2.3011,0.0917,98.90,44.666,0.621,33.7188,33.7187,4.9667,4.8860,1025.9882,1025.9881,1492.42,1492.43,0.0000e+00
46.000,10.9601,10.9599,3.773920,3.773903,2.1085,1.9372,2.1794,0.0901,98.90,45.658,0.561,33.7185,33.7186,4.9686,4.8917,1025.9924,1025.9924,1492.44,1492.44,0.0000e+00
47.000,10.9584,10.9580,3.773848,3.773861,2.1097,1.9363,2.2938,0.0904,98.90,46.651,0.467,33.7190,33.7194,4.9760,4.8828,1025.9975,1025.9979,1492.45,1492.45,0.0000e+00
48.000,10.9561,10.9562,3.773706,3.773710,2.1099,1.9363,2.2570,0.0948,98.90,47.643,0.585,33.7192,33.7192,4.9755,4.8880,1026.0027,1026.0026,1492.46,1492.46,0.0000e+00
49.000,10.9537,10.9538,3.773585,3.773600,2.1099,1.9360,2.1462,0.0886,98.90,48.635,0.436,33.7197,33.7198,4.9758,4.8831,1026.0080,1026.0080,1492.47,1492.47,0.0000e+00
50.000,10.9536,10.9534,3.773612,3.773601,2.1100,1.9346,2.2425,0.0919,98.90,49.628,0.377,33.7197,33.7197,4.9756,4.8810,1026.0125,1026.0126,1492.49,1492.49,0.0000e+00
51.000,10.9529,10.9528,3.773618,3.773600,2.1090,1.9341,2.2396,0.0946,98.90,50.620,0.487,33.7200,33.7199,4.9684,4.8822,1026.0173,1026.0173,1492.50,1492.50,0.0000e+00
52.000,10.9529,10.9528,3.773698,3.773674,2.1079,1.9344,2.2935,0.0993,98.90,51.613,0.373,33.7204,33.7202,4.9716,4.8837,1026.0222,1026.0221,1492.52,1492.52,0.0000e+00
53.000,10.9529,10.9528,3.773796,3.773754,2.1089,1.9342,2.2986,0.0921,98.90,52.605,0.666,33.7209,33.7205,4.9791,4.8849,1026.0271,1026.0268,1492.54,1492.54,0.0000e+00
54.000,10.9529,10.9528,3.774029,3.774009,2.1090,1.9348,2.2020,0.1061,98.90,53.598,0.536,33.7227,33.7226,4.9746,4.8852,1026.0330,1026.0330,1492.56,1492.56,0.0000e+00
55.000,10.9538,10.9540,3.774245,3.774241,2.1075,1.9324,2.3578,0.0899,98.90,54.590,0.528,33.7237,33.7234,4.9748,4.8791,1026.0381,1026.0379,1492.58,1492.58,0.0000e+00
56.000,10.9548,10.9548,3.774493,3.774451,2.1091,1.9330,2.2636,0.0938,98.90,55.582,0.569,33.7247,33.7243,4.9744,4.8841,1026.0433,1026.0429,1492.60,1492.60,0.0000e+00
57.000,10.9562,10.9562,3.774744,3.774691,2.1076,1.9334,2.3441,0.0929,85.96,56.575,0.408,33.7255,33.7250,4.9755,4.8846,1026.0481,1026.0478,1492.62,1492.62,0.0000e+00
58.000,10.9597,10.9597,3.775297,3.775224,2.1087,1.9344,2.3583,0.1079,91.97,57.567,0.567,33.7274,33.7266,4.9751,4.8889,1026.0535,1026.0529,1492.65,1492.65,0.0000e+00
59.000,10.9609,10.9611,3.775494,3.775487,2.1066,1.9340,2.3793,0.1071,99.14,58.560,0.387,33.7278,33.7275,4.9618,4.8802,1026.0581,1026.0578,1492.67,1492.67,0.0000e+00
60.000,10.9560,10.9561,3.775270,3.775470,2.1047,1.9315,2.4407,0.1033,98.90,59.552,0.583,33.7296,33.7315,4.9543,4.8616,1026.0649,1026.0663,1492.67,1492.68,0.0000e+00
