PrDM,T090C,T190C,C0S/m,C1S/m,Sbeox0V,Sbeox1V,FlECO-AFL,TurbWETntu0,AltM,DepSM,Dz/dtM,Sal00,Sal11,Sbeox0ML/L,Sbeox1ML/L,Density00,Density11,SvCM,SvCM1,Flag
2.000,13.5842,13.9311,3.812463,3.854490,2.6531,2.4320,2.7214,0.2789,-24.05,1.983,0.153,31.8162,31.9142,6.2787,6.1954,1023.8320,1023.8347,1498.50,1499.73,0.0000e+00
3.000,16.2706,16.2430,4.041790,4.033589,2.7084,2.4710,1.8382,0.3004,51.43,2.974,0.466,31.6924,31.6410,6.2051,6.0408,1023.1586,1023.1248,1506.87,1506.72,0.0000e+00
4.000,15.8434,15.8333,4.004156,4.014845,2.7225,2.4765,1.8983,0.3531,103.23,3.966,0.391,31.7022,31.8047,6.2587,6.1016,1023.2652,1023.3461,1505.57,1505.65,0.0000e+00
5.000,15.6669,15.7070,3.988766,3.997744,2.6861,2.4528,2.0832,0.3047,98.98,4.957,0.374,31.7072,31.7545,6.1031,5.9861,1023.3122,1023.3396,1505.03,1505.21,0.0000e+00
6.000,15.3381,15.2754,3.958678,3.961502,2.6615,2.4226,2.1946,0.3655,98.90,5.948,0.571,31.7040,31.7804,6.0942,5.9166,1023.3860,1023.4584,1504.01,1503.90,0.0000e+00
7.000,14.0533,14.0304,3.847781,3.860079,2.6467,2.4019,2.5769,0.4039,98.89,6.940,0.434,31.7476,31.8794,6.1979,6.0425,1023.6953,1023.8016,1499.95,1500.02,0.0000e+00
8.000,13.4726,13.4707,3.800109,3.802677,2.5742,2.3604,2.8427,0.3837,98.89,7.931,0.507,31.7875,31.8129,5.9381,5.8926,1023.8481,1023.8681,1498.10,1498.12,0.0000e+00
9.000,13.0525,13.0338,3.765238,3.774820,2.5335,2.3231,2.7318,0.4421,98.90,8.922,0.712,31.8119,31.9180,5.8587,5.8082,1023.9542,1024.0400,1496.74,1496.80,0.0000e+00
10.000,12.6184,12.6169,3.731033,3.733571,2.4882,2.2876,2.9213,0.3905,98.90,9.914,0.457,31.8541,31.8794,5.7563,5.7375,1024.0755,1024.0954,1495.34,1495.37,0.0000e+00
11.000,12.1440,12.1455,3.696276,3.703681,2.4092,2.2158,3.1338,0.3707,91.73,10.905,0.407,31.9250,31.9949,5.6216,5.5697,1024.2241,1024.2781,1493.82,1493.91,0.0000e+00
12.000,11.5986,11.6126,3.657893,3.662725,2.3751,2.1836,3.4536,0.3264,98.81,11.897,0.485,32.0218,32.0567,5.6542,5.5888,1024.4047,1024.4292,1492.08,1492.17,0.0000e+00
13.000,11.3851,11.3763,3.643094,3.645797,2.3551,2.1643,3.1237,0.2599,67.90,12.888,0.541,32.0618,32.0959,5.6515,5.5836,1024.4788,1024.5069,1491.40,1491.41,0.0000e+00
14.000,11.2977,11.2906,3.636716,3.637992,2.3400,2.1506,3.0482,0.2869,97.01,13.879,0.449,32.0749,32.0935,5.6157,5.5573,1024.5091,1024.5249,1491.12,1491.12,0.0000e+00
15.000,11.1935,11.2012,3.628486,3.630685,2.3099,2.1293,3.0381,0.2673,98.89,14.871,0.420,32.0843,32.0992,5.4611,5.4521,1024.5396,1024.5498,1490.79,1490.83,0.0000e+00
16.000,11.0637,11.0564,3.617490,3.619886,2.2727,2.0997,2.9417,0.2229,91.43,15.862,0.637,32.0888,32.1188,5.3065,5.3061,1024.5706,1024.5952,1490.35,1490.36,0.0000e+00
17.000,10.9120,10.8996,3.604538,3.607584,2.2363,2.0642,2.8175,0.1945,90.65,16.853,0.746,32.0931,32.1342,5.2572,5.2082,1024.6050,1024.6391,1489.84,1489.84,0.0000e+00
18.000,10.4076,10.3994,3.565098,3.572530,2.2217,2.0450,2.5924,0.1884,98.72,17.844,0.841,32.1436,32.2253,5.3950,5.2700,1024.7357,1024.8007,1488.12,1488.19,0.0000e+00
19.000,10.1370,10.1409,3.545966,3.550951,2.2270,2.0378,2.2578,0.1357,98.90,18.836,0.832,32.1907,32.2375,5.6028,5.3904,1024.8225,1024.8584,1487.22,1487.29,0.0000e+00
20.000,9.9513,9.9251,3.534904,3.538113,2.2565,2.0536,2.0190,0.1082,88.53,19.827,0.720,32.2438,32.3000,5.8105,5.5726,1024.8994,1024.9475,1486.63,1486.60,0.0000e+00
21.000,9.4681,9.4754,3.499748,3.505565,2.2883,2.0813,1.7838,0.0843,70.01,20.818,0.591,32.3187,32.3718,5.9404,5.7546,1025.0410,1025.0812,1484.98,1485.07,0.0000e+00
22.000,9.3391,9.3402,3.490869,3.492107,2.3292,2.1237,1.5499,0.0541,98.42,21.810,0.407,32.3436,32.3553,6.0595,5.8986,1025.0856,1025.0946,1484.55,1484.57,0.0000e+00
23.000,9.2260,9.2274,3.482991,3.486376,2.3581,2.1526,1.5434,0.0364,97.37,22.801,0.680,32.3644,32.3980,6.1337,5.9918,1025.1244,1025.1504,1484.18,1484.22,0.0000e+00
24.000,9.0937,9.0881,3.472066,3.473455,2.3683,2.1650,1.5625,0.0581,76.80,23.792,0.467,32.3712,32.3906,6.1208,6.0050,1025.1551,1025.1711,1483.71,1483.72,0.0000e+00
25.000,8.8978,8.8967,3.455585,3.458130,2.3664,2.1685,1.5037,0.0412,100.48,24.784,0.489,32.3780,32.4056,6.0468,5.9705,1025.1954,1025.2171,1483.01,1483.04,0.0000e+00
