PrDM,T090C,T190C,C0S/m,C1S/m,Sbeox0V,Sbeox1V,FlECO-AFL,TurbWETntu0,AltM,DepSM,Dz/dtM,Sal00,Sal11,Sbeox0ML/L,Sbeox1ML/L,Density00,Density11,SvCM,SvCM1,Flag
4.000,19.0284,19.0248,4.537157,4.537029,2.6041,2.3810,1.0697,0.0555,98.90,3.972,0.343,33.6957,33.6976,5.4822,5.3627,1024.0349,1024.0372,1517.35,1517.34,0.0000e+00
5.000,18.9067,18.9311,4.524144,4.527799,2.6048,2.3771,1.1959,0.0791,98.90,4.965,0.448,33.6860,33.6966,5.4974,5.3599,1024.0626,1024.0646,1517.00,1517.09,0.0000e+00
6.000,18.8887,18.9094,4.521962,4.525198,2.5970,2.3688,1.0622,0.0503,98.90,5.958,0.388,33.6821,33.6922,5.4614,5.3288,1024.0686,1024.0711,1516.97,1517.04,0.0000e+00
7.000,18.5255,18.5207,4.479352,4.488244,2.5883,2.3567,1.0743,0.0562,98.90,6.951,0.502,33.6209,33.6996,5.5236,5.3370,1024.1170,1024.1783,1515.87,1515.94,0.0000e+00
8.000,18.0417,18.0329,4.425580,4.434635,2.6191,2.3576,1.1486,0.0493,98.90,7.944,0.514,33.5630,33.6472,5.7783,5.4619,1024.1966,1024.2632,1514.41,1514.48,0.0000e+00
9.000,16.6120,16.6201,4.281770,4.301765,2.6736,2.3943,1.3340,0.0550,98.90,8.937,0.392,33.5083,33.6765,6.0589,5.7613,1024.4984,1024.6257,1510.08,1510.30,0.0000e+00
10.000,15.4121,15.4167,4.163252,4.172601,2.6924,2.4185,1.5515,0.0647,98.90,9.929,0.391,33.4725,33.5528,6.1802,5.9401,1024.7488,1024.8096,1506.36,1506.47,0.0000e+00
11.000,14.6714,14.6544,4.091272,4.100041,2.6889,2.4290,1.8399,0.0583,68.26,10.922,0.515,33.4548,33.5495,6.2398,6.0655,1024.9006,1024.9772,1504.01,1504.07,0.0000e+00
12.000,14.3338,14.3293,4.059854,4.065299,2.6861,2.4341,2.0237,0.0631,98.93,11.915,0.502,33.4581,33.5121,6.2856,6.1070,1024.9793,1025.0220,1502.95,1502.99,0.0000e+00
13.000,14.0645,14.0594,4.034475,4.039163,2.6787,2.4325,2.0536,0.0585,76.75,12.908,0.567,33.4572,33.5050,6.2306,6.1047,1025.0396,1025.0776,1502.09,1502.13,0.0000e+00
14.000,13.8991,13.8965,4.019367,4.022969,2.6508,2.4200,2.1683,0.0709,98.43,13.901,0.562,33.4606,33.4964,6.1462,6.0555,1025.0810,1025.1092,1501.57,1501.60,0.0000e+00
15.000,13.7473,13.7478,4.005652,4.009026,2.6266,2.3982,2.2046,0.0800,92.03,14.894,0.391,33.4651,33.4961,6.1289,6.0059,1025.1203,1025.1441,1501.09,1501.13,0.0000e+00
16.000,13.6261,13.6271,3.995136,3.996945,2.6005,2.3753,2.1966,0.0750,98.94,15.887,0.317,33.4725,33.4886,6.0593,5.9499,1025.1553,1025.1675,1500.72,1500.74,0.0000e+00
17.000,13.5363,13.5315,3.986454,3.988960,2.5630,2.3457,2.2088,0.0711,98.85,16.880,0.566,33.4696,33.4973,5.8762,5.8052,1025.1758,1025.1982,1500.44,1500.46,0.0000e+00
18.000,13.3471,13.3340,3.967002,3.971633,2.5262,2.3133,2.2987,0.1224,98.90,17.873,0.703,33.4527,33.5078,5.7866,5.7067,1025.2055,1025.2508,1499.81,1499.83,0.0000e+00
19.000,13.0795,13.0708,3.941115,3.945395,2.4979,2.2854,2.2736,0.0753,98.90,18.865,0.670,33.4437,33.4918,5.7722,5.6738,1025.2567,1025.2956,1498.93,1498.96,0.0000e+00
20.000,12.9579,12.9581,3.929509,3.931527,2.4741,2.2628,2.2475,0.0694,98.90,19.858,0.473,33.4407,33.4597,5.7606,5.6596,1025.2830,1025.2976,1498.54,1498.56,0.0000e+00
21.000,12.9064,12.9068,3.924830,3.926008,2.4500,2.2418,2.1541,0.0789,98.90,20.851,0.318,33.4414,33.4522,5.7393,5.6360,1025.2982,1025.3065,1498.38,1498.39,0.0000e+00
22.000,12.8838,12.8837,3.922955,3.923762,2.4388,2.2327,2.1290,0.0758,69.44,21.844,0.495,33.4431,33.4509,5.7306,5.6286,1025.3085,1025.3145,1498.32,1498.33,0.0000e+00
23.000,12.8680,12.8681,3.921651,3.922417,2.4313,2.2272,2.1999,0.0702,98.55,22.837,0.513,33.4443,33.4515,5.7003,5.6016,1025.3169,1025.3225,1498.29,1498.30,0.0000e+00
24.000,12.8500,12.8487,3.920201,3.920715,2.4208,2.2171,2.2826,0.0694,79.62,23.830,0.509,33.4460,33.4521,5.6345,5.5520,1025.3263,1025.3313,1498.25,1498.25,0.0000e+00
25.000,12.8150,12.8122,3.916844,3.918164,2.3968,2.2009,2.2559,0.1399,99.10,24.823,0.580,33.4447,33.4598,5.5270,5.4726,1025.3367,1025.3489,1498.14,1498.15,0.0000e+00
26.000,12.6571,12.6546,3.902022,3.904386,2.3730,2.1783,2.2650,0.0888,90.55,25.815,0.511,33.4429,33.4678,5.4896,5.4095,1025.3707,1025.3905,1497.63,1497.65,0.0000e+00
27.000,12.5332,12.5341,3.891179,3.892489,2.3491,2.1528,2.3129,0.1291,98.55,26.808,0.378,33.4489,33.4607,5.4544,5.3632,1025.4039,1025.4129,1497.23,1497.25,0.0000e+00
28.000,12.4558,12.4568,3.884289,3.885343,2.3264,2.1329,2.2419,0.0891,98.82,27.801,0.347,33.4513,33.4606,5.4070,5.3228,1025.4253,1025.4322,1496.99,1497.00,0.0000e+00
29.000,12.4136,12.4129,3.880556,3.881238,2.3065,2.1146,2.2414,0.0718,98.90,28.794,0.543,33.4527,33.4598,5.3348,5.2570,1025.4390,1025.4446,1496.86,1496.87,0.0000e+00
30.000,12.3635,12.3609,3.876069,3.877180,2.2899,2.1017,2.3732,0.0675,98.90,29.787,0.718,33.4538,33.4668,5.2712,5.2140,1025.4540,1025.4645,1496.71,1496.72,0.0000e+00
31.000,12.2974,12.2947,3.870230,3.871405,2.2722,2.0885,2.3680,0.0719,98.90,30.780,0.745,33.4562,33.4699,5.2307,5.1730,1025.4730,1025.4841,1496.51,1496.51,0.0000e+00
32.000,12.2398,12.2379,3.865212,3.866315,2.2591,2.0743,2.4392,0.0721,98.90,31.772,0.631,33.4589,33.4712,5.2171,5.1375,1025.4906,1025.5005,1496.33,1496.34,0.0000e+00
33.000,12.1874,12.1874,3.860783,3.861489,2.2437,2.0590,2.3151,0.1174,98.90,32.765,0.450,33.4625,33.4694,5.1940,5.1096,1025.5079,1025.5132,1496.17,1496.18,0.0000e+00
34.000,12.1568,12.1570,3.858196,3.858746,2.2295,2.0441,2.2420,0.0616,75.21,33.758,0.422,33.4645,33.4697,5.1481,5.0654,1025.5197,1025.5238,1496.09,1496.09,0.0000e+00
