PrDM,T090C,T190C,C0S/m,C1S/m,Sbeox0V,DepSM,Dz/dtM,Sal00,Sal11,Sbeox0ML/L,Density00,Density11,SvCM,SvCM1,Flag
2.000,12.4659,12.4601,3.784044,3.783350,3.1868,1.984,0.136,32.4929,32.4913,8.2113,1024.5636,1024.5635,1495.46,1495.43,0.0000e+00
3.000,12.4790,12.4797,3.786199,3.786247,3.2356,2.975,0.422,32.5017,32.5016,8.2963,1024.5725,1024.5722,1495.53,1495.53,0.0000e+00
4.000,12.4233,12.4241,3.781979,3.782159,3.2315,3.967,0.424,32.5092,32.5102,8.1921,1024.5934,1024.5940,1495.36,1495.37,0.0000e+00
5.000,12.3650,12.3625,3.776675,3.776715,3.1866,4.959,0.559,32.5086,32.5111,7.9571,1024.6085,1024.6109,1495.18,1495.17,0.0000e+00
6.000,12.3251,12.3256,3.773088,3.773000,3.1291,5.950,0.645,32.5083,32.5071,7.6899,1024.6203,1024.6193,1495.06,1495.06,0.0000e+00
7.000,12.1969,12.1852,3.761844,3.762254,3.0574,6.942,0.591,32.5112,32.5253,7.4699,1024.6513,1024.6644,1494.64,1494.62,0.0000e+00
8.000,11.9923,11.9919,3.744769,3.745001,2.9807,7.934,0.525,32.5243,32.5269,7.2728,1024.7044,1024.7064,1493.97,1493.97,0.0000e+00
9.000,11.9592,11.9571,3.741783,3.741740,2.9023,8.925,0.572,32.5239,32.5253,7.0011,1024.7147,1024.7162,1493.88,1493.87,0.0000e+00
10.000,11.8045,11.7847,3.727338,3.726739,2.8160,9.917,0.522,32.5186,32.5302,6.7931,1024.7437,1024.7563,1493.35,1493.30,0.0000e+00
11.000,11.6453,11.6414,3.712944,3.712870,2.7479,10.909,0.563,32.5177,32.5204,6.6681,1024.7768,1024.7797,1492.82,1492.81,0.0000e+00
12.000,11.5790,11.5737,3.708387,3.708300,2.6933,11.900,0.661,32.5310,32.5348,6.4818,1024.8038,1024.8077,1492.62,1492.61,0.0000e+00
13.000,11.4673,11.4603,3.699165,3.699118,2.6310,12.892,0.562,32.5386,32.5444,6.2923,1024.8345,1024.8402,1492.25,1492.24,0.0000e+00
14.000,11.3617,11.3417,3.690110,3.689156,2.5567,13.884,0.491,32.5425,32.5508,6.0989,1024.8611,1024.8711,1491.91,1491.85,0.0000e+00
15.000,11.2364,11.2280,3.679190,3.678623,2.4962,14.875,0.601,32.5453,32.5472,5.9317,1024.8903,1024.8933,1491.49,1491.46,0.0000e+00
16.000,11.1447,11.1331,3.671687,3.671413,2.4366,15.867,0.573,32.5521,32.5597,5.7183,1024.9165,1024.9245,1491.19,1491.16,0.0000e+00
17.000,10.9930,10.9793,3.659326,3.659043,2.3650,16.859,0.580,32.5639,32.5733,5.4827,1024.9571,1024.9668,1490.69,1490.65,0.0000e+00
18.000,10.8454,10.8388,3.647951,3.648002,2.2925,17.850,0.511,32.5819,32.5882,5.2932,1025.0015,1025.0077,1490.21,1490.19,0.0000e+00
19.000,10.6800,10.6715,3.635645,3.635588,2.2170,18.842,0.500,32.6064,32.6135,5.1288,1025.0540,1025.0610,1489.67,1489.64,0.0000e+00
