PrDM,T090C,T190C,C0S/m,C1S/m,Sbeox0V,Sbeox1V,FlECO-AFL,TurbWETntu0,AltM,DepSM,Dz/dtM,Sal00,Sal11,Sbeox0ML/L,Sbeox1ML/L,Density00,Density11,SvCM,SvCM1,Flag
4.000,14.9312,14.9289,3.939848,3.940255,2.3315,2.9975,0.8230,0.2807,105.55,3.965,0.262,31.8663,31.8718,5.8733,5.9540,1023.5898,1023.5945,1502.87,1502.87,0.0000e+00
5.000,14.9327,14.9306,3.940013,3.940412,2.3333,2.9949,0.7612,0.2753,64.43,4.956,0.403,31.8661,31.8714,5.8722,5.9482,1023.5938,1023.5983,1502.89,1502.89,0.0000e+00
6.000,14.9331,14.9306,3.940074,3.940446,2.3324,2.9967,0.7678,0.3389,95.80,5.947,0.534,31.8660,31.8714,5.8687,5.9570,1023.5980,1023.6027,1502.91,1502.91,0.0000e+00
7.000,14.9328,14.9305,3.940080,3.940459,2.3317,2.9976,0.7782,0.3121,98.76,6.938,0.470,31.8659,31.8712,5.8755,5.9566,1023.6025,1023.6071,1502.93,1502.93,0.0000e+00
8.000,14.9272,14.9249,3.939533,3.939912,2.3337,2.9960,0.7686,0.3197,98.88,7.929,0.446,31.8652,31.8705,5.8831,5.9519,1023.6076,1023.6122,1502.93,1502.92,0.0000e+00
9.000,14.9281,14.9260,3.939719,3.940158,2.3339,2.9951,0.7944,0.3173,93.57,8.920,0.693,31.8657,31.8714,5.8826,5.9515,1023.6123,1023.6171,1502.95,1502.95,0.0000e+00
10.000,14.9289,14.9268,3.940002,3.940397,2.3339,2.9948,0.7799,0.3268,97.15,9.911,0.670,31.8673,31.8725,5.8838,5.9521,1023.6178,1023.6223,1502.97,1502.97,0.0000e+00
11.000,14.9279,14.9259,3.940006,3.940445,2.3346,2.9950,0.7860,0.3272,98.87,10.903,0.483,31.8677,31.8734,5.8854,5.9552,1023.6228,1023.6276,1502.98,1502.98,0.0000e+00
12.000,14.9285,14.9259,3.940376,3.940750,2.3339,2.9963,0.8119,0.3238,98.88,11.894,0.571,31.8702,31.8757,5.8814,5.9564,1023.6290,1023.6338,1503.00,1503.00,0.0000e+00
13.000,14.9248,14.9225,3.940263,3.940643,2.3339,2.9934,0.7734,0.3300,95.47,12.885,0.473,31.8718,31.8771,5.8823,5.9489,1023.6355,1023.6401,1503.01,1503.01,0.0000e+00
14.000,14.9232,14.9207,3.940207,3.940570,2.3322,2.9932,0.7524,0.3231,66.95,13.876,0.620,31.8722,31.8776,5.8745,5.9516,1023.6407,1023.6453,1503.02,1503.02,0.0000e+00
15.000,14.9192,14.9169,3.939863,3.940223,2.3319,2.9925,0.7712,0.3121,97.33,14.867,0.776,31.8721,31.8772,5.8750,5.9502,1023.6458,1023.6503,1503.02,1503.02,0.0000e+00
16.000,14.9138,14.9113,3.939401,3.939742,2.3304,2.9918,0.7826,0.3264,97.14,15.858,0.470,31.8720,31.8771,5.8722,5.9491,1023.6514,1023.6559,1503.02,1503.02,0.0000e+00
17.000,14.9042,14.9058,3.938493,3.939225,2.3296,2.9910,0.8209,0.3045,99.04,16.849,0.584,31.8712,31.8765,5.8797,5.9532,1023.6573,1023.6610,1503.01,1503.02,0.0000e+00
18.000,14.8965,14.8948,3.937833,3.938216,2.3308,2.9920,0.9091,0.3103,98.88,17.840,0.861,31.8712,31.8761,5.8850,5.9587,1023.6634,1023.6675,1503.00,1503.00,0.0000e+00
19.000,14.8846,14.8825,3.936862,3.937181,2.3309,2.9939,0.9392,0.3285,98.88,18.831,0.641,31.8718,31.8764,5.8857,5.9655,1023.6709,1023.6748,1502.98,1502.98,0.0000e+00
20.000,14.8617,14.8580,3.934811,3.934994,2.3315,2.9950,0.9619,0.3230,98.63,19.822,0.419,31.8716,31.8762,5.8911,5.9691,1023.6800,1023.6844,1502.92,1502.91,0.0000e+00
21.000,14.8403,14.8376,3.932881,3.933089,2.3321,2.9955,0.9711,0.3470,98.88,20.813,0.677,31.8713,31.8754,5.8928,5.9666,1023.6889,1023.6926,1502.87,1502.87,0.0000e+00
22.000,14.8286,14.8262,3.933080,3.933459,2.3303,2.9892,1.0971,0.3618,75.77,21.804,0.567,31.8823,31.8877,5.8731,5.9437,1023.7042,1023.7089,1502.86,1502.86,0.0000e+00
23.000,14.7254,14.7217,3.925814,3.925552,2.3214,2.9773,2.2166,0.3773,99.57,22.795,0.422,31.9007,31.9014,5.8402,5.9234,1023.7448,1023.7461,1502.57,1502.56,0.0000e+00
24.000,14.5343,14.5296,3.909616,3.909043,2.3117,2.9656,2.8931,0.3882,98.88,23.787,0.504,31.9103,31.9089,5.8407,5.9195,1023.7970,1023.7969,1501.98,1501.96,0.0000e+00
25.000,14.3656,14.3617,3.895436,3.895028,2.3059,2.9553,3.3285,0.4074,98.88,24.778,0.422,31.9196,31.9191,5.8359,5.9047,1023.8439,1023.8444,1501.46,1501.45,0.0000e+00
26.000,14.2565,14.2534,3.886196,3.885897,2.2887,2.9238,3.7312,0.4022,98.88,25.769,0.484,31.9249,31.9247,5.7242,5.7886,1023.8751,1023.8757,1501.13,1501.12,0.0000e+00
27.000,14.0329,14.0247,3.867844,3.866187,2.2565,2.8731,3.8761,0.3970,98.88,26.760,0.587,31.9413,31.9328,5.5993,5.6775,1023.9384,1023.9336,1500.44,1500.40,0.0000e+00
28.000,13.4170,13.4081,3.816493,3.813903,2.2212,2.8304,3.4183,0.3957,98.88,27.751,0.443,31.9788,31.9620,5.5620,5.6487,1024.0964,1024.0852,1498.47,1498.42,0.0000e+00
29.000,13.0042,13.0057,3.781267,3.780807,2.1699,2.7496,2.7037,0.2994,98.88,28.742,0.363,31.9956,31.9901,5.3935,5.4456,1024.1958,1024.1912,1497.13,1497.13,0.0000e+00
30.000,12.6870,12.6876,3.755640,3.753977,2.1181,2.6775,2.3861,0.2659,75.86,29.733,0.648,32.0215,32.0052,5.2595,5.3307,1024.2818,1024.2691,1496.11,1496.09,0.0000e+00
31.000,12.4145,12.4133,3.733610,3.732669,2.0938,2.6490,1.7429,0.2105,99.23,30.724,0.814,32.0434,32.0355,5.2621,5.3214,1024.3555,1024.3496,1495.22,1495.21,0.0000e+00
32.000,12.3043,12.3018,3.724981,3.724009,2.0799,2.6332,1.4398,0.1884,98.87,31.715,0.656,32.0547,32.0475,5.2658,5.3050,1024.3896,1024.3845,1494.88,1494.86,0.0000e+00
33.000,12.0832,12.0093,3.708338,3.700601,2.0276,2.5535,1.1579,0.1304,84.26,32.706,0.550,32.0839,32.0730,5.0408,5.0872,1024.4582,1024.4636,1494.17,1493.90,0.0000e+00
34.000,11.6412,11.6360,3.672522,3.670544,1.9989,2.5131,0.9549,0.1217,98.71,33.697,0.893,32.1181,32.1035,4.9673,5.0064,1024.5710,1024.5606,1492.70,1492.67,0.0000e+00
35.000,11.4203,11.4181,3.655144,3.653802,1.9742,2.4753,0.7781,0.1248,98.86,34.688,0.705,32.1400,32.1287,4.9079,4.9339,1024.6326,1024.6242,1491.98,1491.95,0.0000e+00
36.000,11.2879,11.2848,3.645314,3.644429,1.9420,2.4309,0.6091,0.1134,98.85,35.679,0.517,32.1585,32.1526,4.8354,4.8612,1024.6753,1024.6712,1491.55,1491.53,0.0000e+00
37.000,11.2122,11.2101,3.640280,3.639766,1.9062,2.3882,0.4827,0.0944,82.58,36.670,0.346,32.1748,32.1716,4.7685,4.7931,1024.7060,1024.7039,1491.32,1491.31,0.0000e+00
38.000,11.1428,11.1415,3.636043,3.635697,1.8788,2.3571,0.4435,0.0846,99.66,37.661,0.604,32.1933,32.1910,4.7196,4.7443,1024.7372,1024.7357,1491.12,1491.11,0.0000e+00
39.000,11.1003,11.0987,3.633649,3.633385,1.8713,2.3503,0.4226,0.0806,81.35,38.652,0.803,32.2065,32.2053,4.7126,4.7416,1024.7595,1024.7589,1491.00,1490.99,0.0000e+00
40.000,11.0221,11.0203,3.628641,3.628281,1.8652,2.3454,0.3744,0.0900,93.88,39.643,0.702,32.2252,32.2232,4.7069,4.7390,1024.7925,1024.7913,1490.76,1490.75,0.0000e+00
41.000,10.9323,10.9311,3.622742,3.622460,1.8558,2.3340,0.3748,0.0868,98.63,40.634,0.364,32.2453,32.2436,4.6826,4.7088,1024.8284,1024.8274,1490.49,1490.48,0.0000e+00
42.000,10.8286,10.8283,3.616006,3.615874,1.8413,2.3144,0.3519,0.0717,87.76,41.625,0.450,32.2694,32.2684,4.6462,4.6753,1024.8699,1024.8692,1490.17,1490.16,0.0000e+00
43.000,10.8103,10.8064,3.614575,3.614309,1.8358,2.3106,0.2685,0.0728,99.18,42.616,0.734,32.2709,32.2718,4.6509,4.6827,1024.8788,1024.8802,1490.12,1490.11,0.0000e+00
44.000,10.7940,10.7947,3.613229,3.613418,1.8347,2.3099,0.2548,0.0744,98.85,43.607,0.850,32.2715,32.2728,4.6562,4.6822,1024.8866,1024.8875,1490.08,1490.08,0.0000e+00
45.000,10.7571,10.7576,3.610200,3.610280,1.8328,2.3067,0.2526,0.0743,98.85,44.597,0.661,32.2735,32.2739,4.6614,4.6862,1024.8992,1024.8994,1489.97,1489.97,0.0000e+00
