PrDM,T090C,T190C,C0S/m,C1S/m,Sbeox0V,Sbeox1V,FlECO-AFL,TurbWETntu0,AltM,DepSM,Dz/dtM,Sal00,Sal11,Sbeox0ML/L,Sbeox1ML/L,Density00,Density11,SvCM,SvCM1,Flag
3.000,12.9454,12.9451,3.883446,3.883734,2.2098,2.8286,1.3548,0.1579,-1.31,2.977,0.325,33.0218,33.0248,5.6649,5.7273,1024.8849,1024.8873,1497.71,1497.72,0.0000e+00
4.000,12.9425,12.9418,3.883126,3.883361,2.2127,2.8243,1.3779,0.1625,21.47,3.969,0.399,33.0209,33.0238,5.6855,5.7209,1024.8893,1024.8916,1497.72,1497.72,0.0000e+00
5.000,12.9427,12.9429,3.883027,3.883370,2.2110,2.8264,1.3824,0.1577,77.91,4.962,0.433,33.0195,33.0225,5.6728,5.7258,1024.8926,1024.8949,1497.74,1497.74,0.0000e+00
6.000,12.9422,12.9428,3.882950,3.883326,2.2103,2.8266,1.3724,0.2315,98.94,5.954,0.586,33.0188,33.0218,5.6747,5.7260,1024.8966,1024.8989,1497.75,1497.76,0.0000e+00
7.000,12.9393,12.9398,3.882715,3.883104,2.2106,2.8261,1.4231,0.1822,67.02,6.946,0.444,33.0186,33.0218,5.6745,5.7262,1024.9015,1024.9039,1497.76,1497.76,0.0000e+00
8.000,12.9430,12.9449,3.883107,3.883733,2.2112,2.8275,1.3761,0.1786,85.76,7.939,0.564,33.0187,33.0230,5.6819,5.7280,1024.9054,1024.9083,1497.79,1497.80,0.0000e+00
9.000,12.9475,12.9403,3.883803,3.883217,2.2108,2.8255,1.4289,0.1692,99.08,8.931,0.513,33.0209,33.0217,5.6764,5.7238,1024.9107,1024.9127,1497.82,1497.80,0.0000e+00
10.000,12.9393,12.9374,3.882865,3.882932,2.2099,2.8271,1.3740,0.1733,78.53,9.923,0.476,33.0188,33.0211,5.6721,5.7320,1024.9151,1024.9173,1497.81,1497.80,0.0000e+00
11.000,12.9473,12.9469,3.883819,3.884161,2.2086,2.8264,1.4481,0.2128,84.54,10.915,0.446,33.0205,33.0241,5.6710,5.7271,1024.9194,1024.9223,1497.85,1497.85,0.0000e+00
12.000,12.9563,12.9567,3.884880,3.885305,2.2095,2.8262,1.4594,0.1827,98.59,11.908,0.435,33.0222,33.0259,5.6778,5.7315,1024.9234,1024.9262,1497.90,1497.91,0.0000e+00
13.000,12.9595,12.9481,3.885396,3.884342,2.2109,2.8287,1.4610,0.1764,98.88,12.900,0.614,33.0240,33.0239,5.6812,5.7356,1024.9286,1024.9308,1497.93,1497.89,0.0000e+00
14.000,12.9518,12.9582,3.884394,3.885624,2.2103,2.8255,1.4447,0.1795,98.87,13.892,0.416,33.0207,33.0268,5.6742,5.7236,1024.9321,1024.9356,1497.92,1497.95,0.0000e+00
15.000,12.9570,12.9522,3.885082,3.884924,2.2118,2.8227,1.4459,0.1761,88.45,14.884,0.488,33.0223,33.0250,5.6844,5.7219,1024.9368,1024.9398,1497.95,1497.94,0.0000e+00
16.000,12.9558,12.9509,3.885026,3.884717,2.2112,2.8231,1.4505,0.1694,98.06,15.877,0.725,33.0224,33.0238,5.6764,5.7280,1024.9416,1024.9436,1497.97,1497.95,0.0000e+00
17.000,12.9522,12.9495,3.884672,3.884504,2.2095,2.8256,1.4131,0.1776,98.91,16.869,0.473,33.0218,33.0226,5.6752,5.7363,1024.9464,1024.9474,1497.97,1497.96,0.0000e+00
