PrDM,T090C,T190C,C0S/m,C1S/m,Sbeox0V,Sbeox1V,FlECO-AFL,TurbWETntu0,AltM,DepSM,Dz/dtM,Sal00,Sal11,Sbeox0ML/L,Sbeox1ML/L,Density00,Density11,SvCM,SvCM1,Flag
235.000,7.5448,7.5456,3.493509,3.493805,1.0639,1.2486,0.0342,0.1247,87.35,232.964,0.772,33.9597,33.9621,2.0864,2.0602,1027.5972,1027.5990,1483.31,1483.32,0.0000e+00
236.000,7.5391,7.5400,3.493044,3.493378,1.0627,1.2491,0.0470,0.1250,59.04,233.955,0.939,33.9598,33.9625,2.0832,2.0601,1027.6026,1027.6046,1483.31,1483.31,0.0000e+00
237.000,7.5364,7.5370,3.492840,3.493179,1.0623,1.2478,0.0501,0.1281,98.68,234.946,1.193,33.9598,33.9628,2.0852,2.0547,1027.6076,1027.6099,1483.31,1483.32,0.0000e+00
238.000,7.5374,7.5380,3.492976,3.493321,1.0618,1.2457,0.0407,0.1393,98.86,235.937,1.296,33.9598,33.9629,2.0840,2.0484,1027.6120,1027.6144,1483.33,1483.34,0.0000e+00
239.000,7.5355,7.5359,3.492853,3.493171,1.0618,1.2455,0.0337,0.1399,98.86,236.928,1.269,33.9598,33.9629,2.0832,2.0547,1027.6169,1027.6192,1483.34,1483.35,0.0000e+00
240.000,7.5349,7.5351,3.492846,3.493146,1.0611,1.2456,0.0352,0.1443,98.86,237.918,1.139,33.9598,33.9629,2.0819,2.0579,1027.6215,1027.6239,1483.36,1483.36,0.0000e+00
241.000,7.5346,7.5347,3.492849,3.493166,1.0604,1.2480,0.0420,0.1503,65.85,238.909,1.004,33.9597,33.9630,2.0806,2.0619,1027.6260,1027.6286,1483.37,1483.38,0.0000e+00
242.000,7.5346,7.5352,3.492909,3.493246,1.0607,1.2461,0.0380,0.1442,99.18,239.900,0.992,33.9598,33.9630,2.0841,2.0514,1027.6307,1027.6331,1483.39,1483.40,0.0000e+00
243.000,7.5345,7.5347,3.492933,3.493256,1.0601,1.2445,0.0247,0.1237,98.85,240.891,1.073,33.9597,33.9631,2.0822,2.0477,1027.6352,1027.6378,1483.40,1483.41,0.0000e+00
244.000,7.5343,7.5345,3.492980,3.493285,1.0602,1.2443,0.0183,0.1214,98.86,241.881,1.085,33.9599,33.9630,2.0826,2.0496,1027.6400,1027.6423,1483.42,1483.43,0.0000e+00
245.000,7.5327,7.5333,3.492894,3.493236,1.0599,1.2440,0.0303,0.1260,74.93,242.872,0.873,33.9601,33.9633,2.0810,2.0506,1027.6449,1027.6473,1483.43,1483.44,0.0000e+00
246.000,7.5318,7.5324,3.492866,3.493213,1.0594,1.2437,0.0406,0.1355,91.03,243.863,0.697,33.9602,33.9634,2.0779,2.0485,1027.6497,1027.6521,1483.44,1483.45,0.0000e+00
247.000,7.5318,7.5322,3.492915,3.493254,1.0589,1.2425,0.0339,0.1409,99.02,244.853,1.073,33.9603,33.9636,2.0748,2.0428,1027.6543,1027.6568,1483.46,1483.47,0.0000e+00
248.000,7.5322,7.5323,3.492984,3.493306,1.0585,1.2418,0.0167,0.1400,98.70,245.844,1.397,33.9601,33.9636,2.0715,2.0388,1027.6587,1027.6613,1483.48,1483.48,0.0000e+00
249.000,7.5317,7.5316,3.492986,3.493275,1.0579,1.2411,0.0179,0.1397,98.86,246.835,1.464,33.9601,33.9634,2.0683,2.0359,1027.6633,1027.6658,1483.49,1483.50,0.0000e+00
250.000,7.5288,7.5291,3.492782,3.493079,1.0577,1.2395,0.0313,0.1345,98.86,247.826,1.228,33.9603,33.9633,2.0671,2.0296,1027.6684,1027.6707,1483.50,1483.50,0.0000e+00
251.000,7.5128,7.5132,3.491565,3.491634,1.0563,1.2369,0.0346,0.1509,98.86,248.816,0.614,33.9623,33.9627,2.0596,2.0247,1027.6769,1027.6772,1483.46,1483.46,0.0000e+00
252.000,7.5017,7.5019,3.490702,3.490962,1.0541,1.2355,0.0339,0.1354,98.86,249.807,0.854,33.9634,33.9660,2.0474,2.0216,1027.6839,1027.6860,1483.43,1483.44,0.0000e+00
253.000,7.4915,7.4921,3.489913,3.490190,1.0528,1.2318,0.0283,0.1275,98.86,250.798,1.458,33.9643,33.9667,2.0409,2.0075,1027.6908,1027.6925,1483.41,1483.42,0.0000e+00
254.000,7.4787,7.4813,3.488896,3.489291,1.0518,1.2315,0.0295,0.1325,98.86,251.788,1.675,33.9654,33.9670,2.0351,2.0051,1027.6980,1027.6990,1483.38,1483.39,0.0000e+00
255.000,7.4728,7.4735,3.488447,3.488747,1.0512,1.2291,0.0210,0.1375,98.86,252.779,1.653,33.9657,33.9683,2.0337,2.0012,1027.7037,1027.7057,1483.37,1483.38,0.0000e+00
256.000,7.4691,7.4693,3.488171,3.488476,1.0494,1.2276,0.0170,0.1391,98.86,253.770,1.388,33.9659,33.9690,2.0292,2.0006,1027.7090,1027.7114,1483.38,1483.38,0.0000e+00
257.000,7.4668,7.4673,3.488039,3.488340,1.0483,1.2270,0.0314,0.1413,73.93,254.760,0.837,33.9662,33.9690,2.0309,2.0026,1027.7141,1027.7162,1483.38,1483.39,0.0000e+00
258.000,7.4649,7.4666,3.487918,3.488342,1.0472,1.2254,0.0413,0.1709,92.72,255.751,0.609,33.9663,33.9692,2.0333,1.9996,1027.7191,1027.7211,1483.39,1483.40,0.0000e+00
