PrDM,T090C,T190C,C0S/m,C1S/m,Sbeox0V,Sbeox1V,FlECO-AFL,TurbWETntu0,AltM,DepSM,Dz/dtM,Sal00,Sal11,Sbeox0ML/L,Sbeox1ML/L,Density00,Density11,SvCM,SvCM1,Flag
3.000,15.0805,15.0794,4.065178,4.065515,2.4120,3.1028,0.9045,0.3409,3.30,2.977,0.103,32.8730,32.8770,6.0836,6.1456,1024.3285,1024.3318,1504.50,1504.50,0.0000e+00
4.000,15.0795,15.0784,4.065150,4.065488,2.4141,3.0978,0.7035,0.1708,2.71,3.969,0.428,32.8733,32.8772,6.0851,6.1371,1024.3334,1024.3366,1504.52,1504.52,0.0000e+00
5.000,15.0794,15.0784,4.065195,4.065530,2.4126,3.0985,0.7243,0.1728,1.96,4.961,0.763,32.8734,32.8772,6.0721,6.1464,1024.3380,1024.3411,1504.53,1504.53,0.0000e+00
6.000,15.0801,15.0787,4.065288,4.065595,2.4125,3.1017,0.7550,0.1581,32.03,5.954,0.639,32.8732,32.8772,6.0784,6.1537,1024.3421,1024.3455,1504.55,1504.55,0.0000e+00
7.000,15.0805,15.0789,4.065396,4.065677,2.4144,3.1004,0.7101,0.1559,96.75,6.946,0.780,32.8735,32.8773,6.0825,6.1471,1024.3467,1024.3500,1504.57,1504.57,0.0000e+00
8.000,15.0795,15.0797,4.065333,4.065748,2.4124,3.1008,0.6610,0.2049,98.88,7.938,0.464,32.8733,32.8770,6.0724,6.1520,1024.3512,1024.3540,1504.58,1504.59,0.0000e+00
9.000,15.0704,15.0693,4.064667,4.064868,2.4132,3.1013,0.6794,0.1514,98.88,8.930,0.297,32.8746,32.8774,6.0820,6.1541,1024.3586,1024.3610,1504.57,1504.57,0.0000e+00
10.000,15.0613,15.0632,4.063737,4.064346,2.4129,3.1004,0.6985,0.1699,98.88,9.923,0.585,32.8735,32.8774,6.0875,6.1537,1024.3642,1024.3668,1504.56,1504.57,0.0000e+00
11.000,15.0302,15.0265,4.061174,4.061157,2.4134,3.1015,0.6949,0.1462,98.88,10.915,0.540,32.8761,32.8791,6.0939,6.1644,1024.3774,1024.3805,1504.48,1504.47,0.0000e+00
12.000,14.9053,14.9014,4.050299,4.049903,2.4061,3.0932,0.7534,0.1724,98.88,11.907,0.378,32.8825,32.8822,6.0702,6.1648,1024.4138,1024.4144,1504.11,1504.09,0.0000e+00
13.000,14.3513,14.3363,4.001839,3.998810,2.4089,3.1052,1.0181,0.1889,98.88,12.899,0.380,32.9097,32.8947,6.1703,6.2605,1024.5567,1024.5483,1502.37,1502.31,0.0000e+00
14.000,13.9686,13.9666,3.967232,3.965558,2.4071,3.1026,1.1348,0.1568,98.88,13.891,0.535,32.9173,32.9036,6.2099,6.2896,1024.6471,1024.6369,1501.16,1501.14,0.0000e+00
