PrDM,T090C,T190C,C0S/m,C1S/m,Sbeox0V,Sbeox1V,FlECO-AFL,TurbWETntu0,AltM,DepSM,Dz/dtM,Sal00,Sal11,Sbeox0ML/L,Sbeox1ML/L,Density00,Density11,SvCM,SvCM1,Flag
4.000,11.6177,11.6084,3.764398,3.764093,2.5949,3.3657,8.8339,0.6455,61.03,3.968,0.261,33.0472,33.0525,7.1684,7.2566,1025.1616,1025.1675,1493.24,1493.21,0.0000e+00
5.000,11.6037,11.6131,3.763325,3.764742,2.5798,3.3083,9.4398,0.6184,60.85,4.959,0.678,33.0488,33.0543,6.9515,6.9660,1025.1700,1025.1725,1493.21,1493.25,0.0000e+00
6.000,11.4882,11.4827,3.753371,3.751743,2.5443,3.2481,9.6782,0.7938,60.01,5.951,0.844,33.0540,33.0429,6.7655,6.8189,1025.1996,1025.1920,1492.83,1492.80,0.0000e+00
7.000,11.1788,11.1558,3.725285,3.720310,2.5110,3.2063,9.8617,0.9733,59.22,6.943,0.882,33.0544,33.0259,6.6826,6.7678,1025.2603,1025.2423,1491.77,1491.65,0.0000e+00
8.000,10.9194,10.9112,3.700779,3.698687,2.4741,3.1566,11.7783,0.9852,44.27,7.935,0.635,33.0447,33.0313,6.5556,6.6131,1025.3035,1025.2946,1490.86,1490.82,0.0000e+00
9.000,10.7296,10.7187,3.684019,3.681316,2.4015,3.0219,15.0416,1.2398,22.49,8.927,0.560,33.0488,33.0317,6.1348,6.0980,1025.3446,1025.3332,1490.21,1490.15,0.0000e+00
10.000,10.4470,10.4343,3.658971,3.654304,2.3122,2.8568,13.9488,1.3273,49.35,9.919,0.851,33.0536,33.0182,5.6774,5.6199,1025.4019,1025.3764,1489.23,1489.14,0.0000e+00
11.000,9.7631,9.7522,3.596137,3.588089,2.2302,2.7349,15.1641,1.4769,48.68,10.911,0.958,33.0411,32.9690,5.4037,5.3994,1025.5116,1025.4571,1486.77,1486.64,0.0000e+00
12.000,9.4213,9.4197,3.563216,3.561145,2.1520,2.6305,14.9365,1.4392,43.24,11.902,0.878,33.0178,32.9979,5.1972,5.2359,1025.5539,1025.5386,1485.51,1485.48,0.0000e+00
13.000,9.3970,9.3962,3.561715,3.560833,2.0689,2.5325,11.8873,1.0055,28.24,12.894,0.700,33.0243,33.0159,5.0300,5.0942,1025.5675,1025.5610,1485.45,1485.43,0.0000e+00
14.000,9.3819,9.3812,3.563239,3.562441,1.9928,2.4580,8.2565,0.7410,33.65,13.886,0.573,33.0535,33.0458,4.9523,5.0192,1025.5972,1025.5914,1485.44,1485.43,0.0000e+00
15.000,9.3752,9.3752,3.562933,3.562411,1.9431,2.4095,5.7700,0.4468,33.19,14.878,0.671,33.0560,33.0507,4.8970,4.9155,1025.6048,1025.6007,1485.44,1485.43,0.0000e+00
16.000,9.3685,9.3690,3.562319,3.561952,1.9109,2.3641,5.7998,0.5724,34.15,15.870,0.822,33.0555,33.0512,4.7809,4.7551,1025.6101,1025.6066,1485.43,1485.43,0.0000e+00
17.000,9.3320,9.3326,3.559063,3.558347,1.8782,2.3090,5.4083,0.4752,17.22,16.862,0.815,33.0552,33.0473,4.6561,4.6319,1025.6202,1025.6140,1485.31,1485.30,0.0000e+00
18.000,9.1351,9.1399,3.540923,3.539799,1.8414,2.2695,3.9869,0.4407,12.38,17.853,0.771,33.0494,33.0332,4.6305,4.6807,1025.6516,1025.6382,1484.60,1484.60,0.0000e+00
19.000,9.2462,9.2553,3.555959,3.559016,1.8261,2.2906,2.4205,0.3003,36.87,18.845,0.842,33.1016,33.1248,4.7303,4.8318,1025.6793,1025.6961,1485.09,1485.15,0.0000e+00
20.000,9.6110,9.6194,3.599473,3.606523,1.8342,2.3129,1.3125,0.1818,19.01,19.837,0.823,33.2110,33.2756,4.8006,4.8297,1025.7101,1025.7592,1486.57,1486.68,0.0000e+00
21.000,9.8562,9.8546,3.636722,3.636160,1.8405,2.3138,1.0510,0.4142,28.33,20.829,0.478,33.3655,33.3612,4.7415,4.7180,1025.7951,1025.7921,1487.67,1487.66,0.0000e+00
22.000,9.6399,9.6381,3.617658,3.616291,1.8196,2.2621,1.4212,0.2546,33.61,21.821,0.735,33.3705,33.3582,4.5359,4.4985,1025.8393,1025.8300,1486.91,1486.88,0.0000e+00
23.000,9.5013,9.5021,3.605267,3.604833,1.8036,2.2307,1.4953,0.2723,11.52,22.812,1.231,33.3717,33.3664,4.4659,4.4299,1025.8675,1025.8633,1486.42,1486.41,0.0000e+00
24.000,9.4597,9.4600,3.600892,3.600900,1.7890,2.2088,1.6090,0.2854,12.53,23.804,1.321,33.3649,33.3647,4.4091,4.3916,1025.8735,1025.8733,1486.27,1486.28,0.0000e+00
25.000,9.3621,9.3635,3.594284,3.593591,1.7739,2.1913,1.5611,0.3271,21.11,24.796,1.128,33.3873,33.3789,4.3753,4.3817,1025.9114,1025.9046,1485.96,1485.96,0.0000e+00
26.000,9.3217,9.3229,3.592720,3.593333,1.7559,2.1750,1.4290,0.4462,34.21,25.788,0.656,33.4085,33.4136,4.3549,4.3771,1025.9390,1025.9428,1485.86,1485.87,0.0000e+00
27.000,9.3672,9.3664,3.599765,3.599813,1.7334,2.1573,0.9932,0.2176,37.36,26.780,0.378,33.4382,33.4395,4.3403,4.3558,1025.9595,1025.9606,1486.08,1486.07,0.0000e+00
28.000,9.3716,9.3710,3.600460,3.600748,1.7237,2.1459,0.9108,0.3286,36.71,27.771,0.735,33.4409,33.4444,4.2966,4.2822,1025.9654,1025.9682,1486.11,1486.11,0.0000e+00
29.000,9.3756,9.3751,3.601275,3.601539,1.7141,2.1219,1.0340,0.2471,32.50,28.763,0.951,33.4451,33.4483,4.2111,4.1715,1025.9726,1025.9752,1486.15,1486.15,0.0000e+00
30.000,9.3118,9.3119,3.596862,3.596393,1.6994,2.0918,0.8884,0.2417,35.90,29.755,1.012,33.4587,33.4538,4.1227,4.0835,1025.9981,1025.9942,1485.94,1485.94,0.0000e+00
31.000,9.1269,9.1257,3.581118,3.579750,1.6808,2.0648,0.9732,0.2582,35.51,30.747,0.928,33.4684,33.4554,4.0557,4.0447,1026.0398,1026.0299,1485.30,1485.27,0.0000e+00
32.000,8.9804,8.9790,3.567701,3.567111,1.6603,2.0419,1.0970,0.4140,34.59,31.738,0.744,33.4661,33.4613,4.0127,4.0234,1026.0659,1026.0624,1484.77,1484.76,0.0000e+00
33.000,8.9166,8.9188,3.561529,3.561485,1.6391,2.0184,0.9814,0.3503,33.24,32.730,0.552,33.4614,33.4589,3.9726,3.9767,1026.0768,1026.0745,1484.54,1484.55,0.0000e+00
34.000,8.8646,8.8678,3.556401,3.556515,1.6169,1.9881,0.8548,0.2362,29.94,33.722,0.581,33.4564,33.4545,3.9035,3.8908,1026.0856,1026.0837,1484.36,1484.37,0.0000e+00
35.000,8.7945,8.7935,3.550175,3.549804,1.6002,1.9632,1.2861,0.2980,30.83,34.714,0.829,33.4569,33.4539,3.8351,3.8176,1026.1016,1026.0993,1484.12,1484.11,0.0000e+00
36.000,8.7450,8.7442,3.545824,3.545523,1.5846,1.9399,0.9088,0.2375,17.19,35.705,0.898,33.4576,33.4551,3.7712,3.7523,1026.1144,1026.1125,1483.95,1483.94,0.0000e+00
37.000,8.6786,8.6766,3.539752,3.538708,1.5684,1.9159,1.3020,0.2865,28.89,36.697,0.844,33.4562,33.4471,3.7153,3.7011,1026.1281,1026.1213,1483.72,1483.70,0.0000e+00
38.000,8.5598,8.5608,3.529011,3.528547,1.5506,1.8943,0.8650,0.2493,28.26,37.689,0.712,33.4551,33.4493,3.6724,3.6661,1026.1501,1026.1454,1483.29,1483.29,0.0000e+00
39.000,8.5449,8.5445,3.528081,3.528207,1.5325,1.8717,0.7777,0.2184,27.03,38.681,0.624,33.4590,33.4608,3.5962,3.5726,1026.1601,1026.1615,1483.25,1483.26,0.0000e+00
40.000,8.5690,8.5668,3.531262,3.531461,1.5082,1.8242,0.7054,0.2261,26.28,39.672,0.675,33.4693,33.4734,3.4370,3.3829,1026.1689,1026.1725,1483.37,1483.37,0.0000e+00
41.000,8.4041,8.4053,3.518700,3.517129,1.4757,1.7736,0.7380,0.2687,25.15,40.664,0.766,33.4927,33.4749,3.2929,3.2630,1026.2170,1026.2029,1482.80,1482.78,0.0000e+00
42.000,8.2551,8.2550,3.505214,3.505124,1.4476,1.7381,0.5672,0.2040,23.60,41.656,0.753,33.4912,33.4904,3.2274,3.2157,1026.2430,1026.2424,1482.26,1482.26,0.0000e+00
43.000,8.2516,8.2511,3.506492,3.506473,1.4215,1.7090,0.3947,0.1819,22.85,42.647,0.609,33.5077,33.5079,3.1837,3.1750,1026.2610,1026.2613,1482.28,1482.28,0.0000e+00
44.000,8.2344,8.2340,3.505677,3.505700,1.4005,1.6870,0.3496,0.1791,22.16,43.639,0.760,33.5149,33.5156,3.1553,3.1442,1026.2739,1026.2745,1482.24,1482.24,0.0000e+00
45.000,8.2321,8.2317,3.506033,3.506277,1.3896,1.6763,0.3502,0.1795,21.28,44.631,0.933,33.5205,33.5234,3.1446,3.1315,1026.2832,1026.2855,1482.26,1482.26,0.0000e+00
46.000,8.2678,8.2653,3.510993,3.511254,1.3817,1.6697,0.3363,0.1866,20.20,45.622,0.836,33.5386,33.5438,3.1359,3.1206,1026.2966,1026.3010,1482.43,1482.43,0.0000e+00
47.000,8.2833,8.2839,3.513792,3.514231,1.3722,1.6578,0.4703,0.2102,19.01,46.614,0.441,33.5531,33.5572,3.0967,3.0647,1026.3101,1026.3132,1482.52,1482.53,0.0000e+00
48.000,8.2618,8.2616,3.513695,3.513785,1.3509,1.6218,0.4732,0.2080,17.78,47.606,0.491,33.5721,33.5733,2.9599,2.9141,1026.3328,1026.3338,1482.48,1482.48,0.0000e+00
49.000,8.2296,8.2286,3.513179,3.513362,1.3202,1.5678,0.4896,0.2153,16.88,48.597,0.417,33.5970,33.5998,2.7759,2.7185,1026.3618,1026.3641,1482.41,1482.41,0.0000e+00
50.000,8.1810,8.1803,3.512934,3.513156,1.2725,1.4965,0.6702,0.2631,15.77,49.589,0.526,33.6404,33.6434,2.5660,2.5375,1026.4077,1026.4102,1482.29,1482.30,0.0000e+00
51.000,8.1606,8.1603,3.513322,3.513538,1.2398,1.4599,0.4242,0.2843,14.75,50.581,0.490,33.6636,33.6662,2.5085,2.4910,1026.4335,1026.4356,1482.26,1482.26,0.0000e+00
52.000,8.1541,8.1537,3.513394,3.513641,1.2115,1.4281,0.3596,0.2720,13.10,51.572,0.385,33.6701,33.6732,2.4514,2.4112,1026.4442,1026.4467,1482.26,1482.26,0.0000e+00
53.000,8.1358,8.1352,3.513191,3.513431,1.1875,1.3919,0.3281,0.2827,12.70,52.564,0.568,33.6851,33.6883,2.3531,2.3036,1026.4633,1026.4658,1482.23,1482.23,0.0000e+00
54.000,8.1165,8.1156,3.513268,3.513576,1.1659,1.3669,0.2942,0.3284,11.79,53.556,0.410,33.7040,33.7082,2.2950,2.2711,1026.4856,1026.4890,1482.20,1482.20,0.0000e+00
55.000,8.1082,8.1101,3.513554,3.513861,1.1276,1.3363,0.2469,0.2232,10.67,54.547,0.141,33.7146,33.7160,2.2569,2.2356,1026.4997,1026.5004,1482.19,1482.20,0.0000e+00
