PrDM,T090C,T190C,C0S/m,C1S/m,Sbeox0V,Sbeox1V,FlECO-AFL,TurbWETntu0,AltM,DepSM,Dz/dtM,Sal00,Sal11,Sbeox0ML/L,Sbeox1ML/L,Density00,Density11,SvCM,SvCM1,Flag
4.000,15.7247,15.7226,4.174866,4.176378,2.4783,3.1663,0.9163,0.9635,93.79,3.970,0.340,33.3136,33.3288,6.1770,6.2037,1024.5303,1024.5424,1507.06,1507.07,0.0000e+00
5.000,15.5294,15.5311,4.157799,4.158076,2.4734,3.1587,0.9128,0.2922,97.07,4.963,0.373,33.3259,33.3268,6.1855,6.2089,1024.5876,1024.5880,1506.48,1506.48,0.0000e+00
6.000,15.3883,15.3869,4.144848,4.144502,2.4677,3.1512,0.9603,0.2023,82.90,5.955,0.406,33.3290,33.3270,6.1807,6.2052,1024.6257,1024.6245,1506.05,1506.05,0.0000e+00
7.000,15.2665,15.2646,4.133514,4.132833,2.4624,3.1432,0.9252,0.1943,69.09,6.948,0.466,33.3301,33.3256,6.1822,6.2035,1024.6577,1024.6547,1505.69,1505.68,0.0000e+00
8.000,15.1091,15.1085,4.118825,4.118288,2.4573,3.1387,0.9800,0.1762,88.68,7.940,0.579,33.3312,33.3269,6.1787,6.2138,1024.6975,1024.6943,1505.21,1505.20,0.0000e+00
9.000,14.9767,14.9779,4.106491,4.106047,2.4515,3.1348,1.0074,0.1974,63.03,8.933,0.502,33.3322,33.3272,6.1817,6.2174,1024.7315,1024.7273,1504.81,1504.81,0.0000e+00
10.000,14.8169,14.8200,4.091807,4.091477,2.4453,3.1256,1.0755,0.1933,95.04,9.925,0.531,33.3352,33.3295,6.1714,6.2084,1024.7727,1024.7676,1504.32,1504.32,0.0000e+00
11.000,14.7072,14.7057,4.081603,4.080808,2.4364,3.1156,1.1081,0.2023,71.19,10.918,0.585,33.3359,33.3299,6.1567,6.1962,1024.8013,1024.7969,1503.99,1503.97,0.0000e+00
12.000,14.5525,14.5507,4.066855,4.065979,2.4294,3.1037,1.1736,0.2034,86.62,11.910,0.499,33.3337,33.3272,6.1431,6.1718,1024.8370,1024.8324,1503.50,1503.49,0.0000e+00
13.000,14.3692,14.3645,4.049818,4.048461,2.4098,3.0713,1.2440,0.2295,78.01,12.903,0.540,33.3348,33.3265,6.0208,6.0700,1024.8812,1024.8757,1502.93,1502.91,0.0000e+00
14.000,14.1954,14.1867,4.033098,4.030359,2.3724,3.0207,1.2550,0.2074,89.32,13.895,0.625,33.3305,33.3127,5.8724,5.9453,1024.9189,1024.9069,1502.38,1502.33,0.0000e+00
15.000,13.5796,13.5741,3.973972,3.970013,2.3352,2.9722,1.3798,0.2240,98.70,14.888,0.636,33.3157,33.2834,5.8319,5.9094,1025.0389,1025.0151,1500.37,1500.31,0.0000e+00
16.000,13.1550,13.1516,3.933958,3.931780,2.3032,2.9336,1.5654,0.2942,93.14,15.880,0.595,33.3108,33.2933,5.8193,5.8931,1025.1253,1025.1124,1498.97,1498.94,0.0000e+00
17.000,12.9826,12.9866,3.918383,3.917567,2.2796,2.9078,1.6307,0.1881,83.39,16.873,0.500,33.3146,33.3033,5.8197,5.8821,1025.1670,1025.1575,1498.42,1498.42,0.0000e+00
18.000,12.9469,12.9466,3.914976,3.914316,2.2662,2.8934,1.7389,0.1921,98.97,17.865,0.554,33.3134,33.3073,5.8155,5.8653,1025.1776,1025.1730,1498.31,1498.30,0.0000e+00
19.000,12.9399,12.9403,3.914373,3.913918,2.2583,2.8812,1.6903,0.2120,69.64,18.858,0.584,33.3134,33.3087,5.7926,5.8330,1025.1835,1025.1798,1498.31,1498.30,0.0000e+00
20.000,12.9120,12.9139,3.911905,3.911595,2.2484,2.8668,1.6437,0.1827,78.79,19.850,0.578,33.3141,33.3095,5.7541,5.8010,1025.1940,1025.1901,1498.23,1498.23,0.0000e+00
21.000,12.8278,12.8277,3.903764,3.903011,2.2369,2.8552,1.6055,0.2162,71.75,20.843,0.573,33.3106,33.3035,5.7286,5.7878,1025.2123,1025.2069,1497.96,1497.95,0.0000e+00
22.000,12.7554,12.7559,3.896496,3.896182,2.2272,2.8426,1.6231,0.2207,85.44,21.835,0.518,33.3049,33.3014,5.7042,5.7564,1025.2266,1025.2238,1497.73,1497.73,0.0000e+00
23.000,12.7032,12.7218,3.891576,3.892801,2.2133,2.8221,1.5798,0.2038,71.70,22.828,0.552,33.3036,33.2988,5.6552,5.7026,1025.2403,1025.2330,1497.57,1497.62,0.0000e+00
24.000,12.5859,12.5876,3.880304,3.879865,2.2015,2.8047,1.5515,0.1760,64.75,23.820,0.574,33.2993,33.2936,5.6406,5.6848,1025.2643,1025.2595,1497.18,1497.18,0.0000e+00
25.000,12.5429,12.5414,3.876944,3.876579,2.1927,2.7933,1.5507,0.1570,74.14,24.813,0.597,33.3048,33.3026,5.6291,5.6616,1025.2814,1025.2800,1497.06,1497.05,0.0000e+00
26.000,12.5547,12.5538,3.878686,3.878472,2.1857,2.7758,1.6210,0.1994,72.01,25.805,0.598,33.3106,33.3094,5.5905,5.6057,1025.2881,1025.2873,1497.12,1497.12,0.0000e+00
27.000,12.5678,12.5701,3.881898,3.882580,2.1717,2.7563,1.5667,0.1842,75.81,26.798,0.555,33.3293,33.3338,5.5312,5.5634,1025.3045,1025.3075,1497.21,1497.22,0.0000e+00
28.000,12.5675,12.5712,3.883575,3.883875,2.1607,2.7453,1.6339,0.1733,75.06,27.790,0.622,33.3452,33.3448,5.5166,5.5494,1025.3214,1025.3203,1497.24,1497.25,0.0000e+00
29.000,12.5594,12.5599,3.882935,3.883088,2.1557,2.7381,1.5523,0.1709,77.54,28.782,0.625,33.3458,33.3469,5.4893,5.5129,1025.3279,1025.3286,1497.23,1497.23,0.0000e+00
30.000,12.5455,12.5511,3.882232,3.882427,2.1355,2.7010,1.5715,0.1894,78.71,29.775,0.422,33.3510,33.3479,5.3603,5.3772,1025.3391,1025.3357,1497.21,1497.22,0.0000e+00
31.000,12.4481,12.4537,3.876618,3.876918,2.0982,2.6453,1.4840,0.1641,59.21,30.767,0.526,33.3833,33.3812,5.2172,5.2393,1025.3874,1025.3848,1496.93,1496.95,0.0000e+00
32.000,12.3708,12.3758,3.870448,3.870564,2.0732,2.6084,1.4578,0.1631,99.07,31.760,0.676,33.3924,33.3890,5.1509,5.1650,1025.4139,1025.4104,1496.70,1496.71,0.0000e+00
33.000,12.3056,12.2960,3.864918,3.863883,2.0519,2.5805,1.3940,0.1586,82.46,32.752,0.694,33.3968,33.3954,5.0888,5.1115,1025.4343,1025.4351,1496.50,1496.46,0.0000e+00
34.000,12.1967,12.1955,3.856009,3.855426,2.0299,2.5532,1.4626,0.1599,69.57,33.744,0.596,33.4077,33.4032,5.0384,5.0685,1025.4681,1025.4648,1496.15,1496.15,0.0000e+00
35.000,12.1074,12.1073,3.848530,3.848301,2.0074,2.5300,1.3318,0.1481,67.97,34.737,0.469,33.4149,33.4127,5.0024,5.0340,1025.4952,1025.4935,1495.88,1495.87,0.0000e+00
36.000,12.0649,12.0715,3.845001,3.845412,1.9909,2.5078,1.2370,0.1650,66.87,35.729,0.589,33.4183,33.4163,4.9675,4.9843,1025.5103,1025.5076,1495.75,1495.77,0.0000e+00
37.000,12.0290,12.0241,3.842073,3.841558,1.9793,2.4926,1.2327,0.1768,66.11,36.722,0.657,33.4216,33.4210,4.9280,4.9441,1025.5242,1025.5247,1495.65,1495.63,0.0000e+00
38.000,11.9891,11.9833,3.838823,3.838102,1.9626,2.4653,1.2196,0.1777,65.10,37.714,0.500,33.4255,33.4237,4.8399,4.8489,1025.5393,1025.5390,1495.53,1495.51,0.0000e+00
39.000,11.8217,11.8329,3.825121,3.825335,1.9305,2.4146,1.1383,0.1715,64.02,38.706,0.506,33.4421,33.4342,4.7208,4.7321,1025.5881,1025.5799,1494.99,1495.02,0.0000e+00
40.000,11.6642,11.6478,3.811511,3.809513,1.9072,2.3882,1.0713,0.1598,63.09,39.699,0.640,33.4508,33.4460,4.6834,4.7141,1025.6287,1025.6280,1494.48,1494.42,0.0000e+00
41.000,11.6012,11.6095,3.805860,3.806531,1.8911,2.3719,1.0219,0.1482,62.12,40.691,0.608,33.4520,33.4510,4.6652,4.6887,1025.6458,1025.6435,1494.28,1494.31,0.0000e+00
42.000,11.5460,11.5683,3.801241,3.802903,1.8797,2.3571,1.0412,0.1479,61.00,41.684,0.644,33.4561,33.4522,4.6494,4.6557,1025.6637,1025.6566,1494.11,1494.18,0.0000e+00
43.000,11.5530,11.5311,3.801827,3.799716,1.8694,2.3409,1.0184,0.1546,60.11,42.676,0.577,33.4551,33.4541,4.6030,4.6103,1025.6661,1025.6694,1494.15,1494.07,0.0000e+00
44.000,11.4564,11.4395,3.793787,3.791913,1.8505,2.3149,1.0133,0.1576,59.15,43.668,0.446,33.4631,33.4599,4.5315,4.5483,1025.6946,1025.6953,1493.84,1493.78,0.0000e+00
45.000,11.3202,11.3235,3.782041,3.781924,1.8311,2.2895,1.0112,0.1549,58.15,44.661,0.544,33.4705,33.4663,4.4863,4.5027,1025.7298,1025.7260,1493.39,1493.40,0.0000e+00
46.000,11.2611,11.2522,3.776901,3.775802,1.8181,2.2750,1.0129,0.1596,57.26,45.653,0.630,33.4731,33.4703,4.4654,4.4860,1025.7471,1025.7466,1493.20,1493.17,0.0000e+00
47.000,11.2156,11.2168,3.772926,3.772957,1.8096,2.2655,1.0031,0.2010,56.31,46.645,0.640,33.4747,33.4739,4.4454,4.4623,1025.7611,1025.7604,1493.06,1493.07,0.0000e+00
48.000,11.2044,11.2107,3.772024,3.772453,1.7982,2.2488,1.0058,0.1508,55.16,47.638,0.539,33.4755,33.4741,4.3891,4.4025,1025.7683,1025.7661,1493.04,1493.06,0.0000e+00
49.000,11.0933,11.1019,3.762796,3.762942,1.7796,2.2199,0.9628,0.1406,54.07,48.630,0.519,33.4848,33.4784,4.3043,4.3122,1025.8001,1025.7936,1492.68,1492.70,0.0000e+00
50.000,11.0023,11.0070,3.754718,3.754744,1.7588,2.1851,0.9621,0.1335,53.07,49.622,0.698,33.4872,33.4832,4.1947,4.1971,1025.8229,1025.8189,1492.38,1492.39,0.0000e+00
51.000,10.8977,10.9032,3.745899,3.745616,1.7331,2.1438,0.9571,0.1221,52.16,50.615,0.654,33.4946,33.4867,4.0842,4.0936,1025.8518,1025.8447,1492.04,1492.05,0.0000e+00
52.000,10.6252,10.6174,3.722386,3.720788,1.6964,2.0979,0.7458,0.1308,50.95,51.607,0.402,33.5089,33.5001,4.0098,4.0307,1025.9156,1025.9101,1491.11,1491.07,0.0000e+00
53.000,10.5044,10.5052,3.711593,3.711095,1.6633,2.0570,0.5748,0.0856,50.02,52.599,0.445,33.5112,33.5054,3.9480,3.9624,1025.9431,1025.9385,1490.70,1490.69,0.0000e+00
54.000,10.3967,10.3976,3.701964,3.701682,1.6454,2.0380,0.5574,0.0969,49.13,53.592,0.536,33.5131,33.5094,3.9329,3.9475,1025.9678,1025.9648,1490.33,1490.33,0.0000e+00
55.000,10.3804,10.3820,3.700509,3.700513,1.6359,2.0285,0.5417,0.0890,47.91,54.584,0.529,33.5130,33.5115,3.9297,3.9375,1025.9751,1025.9737,1490.29,1490.29,0.0000e+00
56.000,10.3745,10.3747,3.700094,3.700054,1.6300,2.0226,0.5443,0.1010,47.05,55.576,0.476,33.5137,33.5132,3.9271,3.9301,1025.9812,1025.9807,1490.29,1490.29,0.0000e+00
