"CRUISE","VESSEL","HAUL","LATITUDE","LONGITUDE","TEMP","SALINITY","pH","Turbidity","O2","DEPTH","MIN_DEPTH","MAX_DEPTH"
201601,143,2,54.376725,-165.658045,4.5836149068323,33.1101490785258,-0.902,16.1402629399586,567.951418219462,88.6888889211328,86.3276315301044,89.1018537015094
201601,143,3,54.391805,-165.763455,4.1508164556962,33.4989547315939,-0.902,15.3168502109705,213.135493670886,228.823095231292,226.298577670688,230.161653320666
201601,143,4,54.210685,-165.75152,6.34830103092783,32.4948538491456,-0.902,16.0253608247423,510.927445360825,85.6170097370062,83.1801527298192,86.5942691055469
201601,143,8,54.20519,-166.17897,4.89265567010309,33.0191177147894,-0.902,13.0606907216495,489.876686597938,160.333779136224,157.97844207017,163.3978766021
201601,143,9,54.162615,-166.31905,4.68868948655257,33.1097333046924,-0.902,13.3149706601467,272.939180929095,156.044684577547,149.575386517905,159.73731107512
201601,143,10,54.164655,-166.250365,4.86851428571429,33.0246265583758,-0.902,13.0274142857143,282.299373809524,116.144497883212,114.16660151359,121.43383875103
201601,143,11,54.0709,-166.357695,5.51312525667351,32.8027424414474,-0.902,12.9971273100616,309.22886036961,78.6415471066507,77.4666868909973,79.5830314069993
201601,143,12,54.03871,-166.66744,6.28115734989648,32.653153687592,-0.902,13.209983436853,330.766892339545,83.0033890864286,79.5689660987014,84.725817800589
201601,143,13,53.763705,-167.06675,6.43234205231388,32.4504234415047,-0.902,13.7919154929577,337.004599597586,58.3022455156268,57.1999399535005,59.7511746210451
201601,143,14,53.74366,-166.987185,5.21116463414634,32.9670111388819,-0.902,14.3713902439024,384.432953252033,181.989511163707,177.356258156444,182.698850070068
201601,143,15,53.542825,-167.582925,6.13330864197531,32.7958048999977,-0.902,13.8641440329218,313.091895061728,80.8141150609076,78.8406393411159,81.2484759346837
201601,143,19,53.112165,-168.990575,4.53997160243408,33.6554930965026,-0.902,15.3328580121704,164.262129817444,253.343568160033,248.797999434643,258.297089555944
201601,143,20,53.097105,-168.885205,6.07270164609054,32.9892682935639,-0.902,0.631269547325103,268.346899176955,107.809921753679,106.326664441909,108.7832011176
201601,143,21,53.07502,-168.84031,6.69288414634146,32.6818023584855,-0.902,0.669325203252033,308.27718495935,62.4788436937665,61.7703264073488,64.1434952175938
201601,143,25,53.223415,-169.742215,4.19197408207343,33.8465160933748,-0.902,0.509185745140389,123.64018574514,318.6229507885,315.933215998136,325.087883721362
201601,143,26,53.10965,-169.863805,4.74751028806584,33.6203266264022,-0.902,0.0979506172839506,162.528681069959,273.46785623413,271.143844953131,274.63379988779
201601,143,127,52.040185,178.51642,3.72497119341564,33.9756099195063,0,0.0238971193415638,35.6816522633745,382.965983246702,378.644989689973,386.841463402617
201601,143,128,51.863915,178.468725,4.47609292035398,33.2971344256888,0,0.0496814159292035,240.356814159292,224.942569217499,221.287032062536,232.672925269701
201601,143,129,51.86607,178.363745,4.54831222707424,33.3875160420211,0,0.0885829694323144,210.321366812227,231.294283503548,225.327180220079,238.909005513997
201601,143,130,51.927275,178.244115,3.83590969162996,33.8921158743578,0,0.167429515418502,73.6642114537445,238.684439924156,235.641139400863,244.5742260135
201601,143,131,51.896575,178.216925,4.65582389937107,33.4205684627604,0,0.101995807127883,203.204853249476,237.152898899327,231.289611368927,239.973374210089
201601,143,132,51.988215,178.2138,4.86025514403292,33.3167191802443,0,0.128286008230453,233.430475308642,83.7195171953762,79.94942244231,85.2807884466173
201601,143,133,51.99796,178.029605,4.60106004140787,33.4329849336421,0,0.0839233954451346,198.788714285714,221.725046610344,219.539876195819,224.242543313487
201601,143,134,52.0077,177.97939,4.34736041666667,33.5558026645615,0,0.097775,162.551475,323.245886414191,307.281060872616,327.884798167014
201601,143,135,52.054465,177.83143,4.82423940677966,33.3714003396939,0,0.10658686440678,219.546129237288,261.620536619604,255.688055463347,267.996827899882
201601,143,136,52.025095,177.82502,4.94673770491803,33.2817661627436,0,0.229372950819672,243.369461065574,107.62446533642,104.813449321405,108.337433609637
201601,143,137,52.03338,177.65091,5.38933769063181,33.2217529607706,0,0.20319825708061,264.734265795207,64.2017714485546,63.0353198463251,66.4465035610052
201601,143,138,51.993595,177.661815,5.16375910931174,33.2511639707229,0,0.0936902834008097,252.464255060729,76.9803147184812,75.7746652892833,78.7980470528151
201601,143,139,51.826905,177.661965,5.19708653846154,33.2749505895755,0,0.103455769230769,248.338544230769,126.1690143257,122.0818979641,127.468612725805
201601,143,140,51.7641,177.71716,4.81988125,33.4374046415137,0,0.0864395833333333,199.676025,233.738223868486,231.443225393486,235.030852189559
201601,143,141,51.79498,177.68362,4.88560206185567,33.3938758183825,0,0.0743381443298969,209.126795876289,153.137027098589,149.353685984971,154.180445436129
201601,143,142,51.821565,177.612115,5.24655263157895,33.261786324168,0,0.0910101214574899,252.595350202429,129.354887093401,125.653614158637,130.810790282403
201601,143,143,51.845785,177.460905,5.21846680080483,33.255916723097,0,0.0907203219315895,248.543865191147,100.122995838356,98.0560877591716,101.914153755542
201601,143,144,51.82936,177.4941,4.99264837398374,33.3518498734585,0,0.0714390243902439,225.278648373984,111.736150252825,110.666783431424,112.778823201099
201601,143,145,51.77404,177.464575,4.77077263157895,33.4653910978658,0,0.104277894736842,190.882724210526,265.609552461777,263.178486171412,267.287181309581
201601,143,146,51.76426,177.349385,5.05607878787879,33.3125619698251,0,0.200919191919192,232.757367676768,151.379211232575,140.932551734132,153.548033246038
