EXPOCODE,CRUISE_ID,STATION_ID,EVENT_NO,NISKIN_NO,YEAR_UTC,MONTH_UTC,DAY_UTC,TIME_UTC,YEARDAY_UTC,LONGITUDE_DEC,LATITUDE_DEC,CTDPRS_DBAR,DEPTH_METER,CTDTMP_ITS90_DEG_C,TMP_REVERSING_DEG_C,CTDSAL_PSS78,CTDSAL_FLAG_W,SALINITY_PSS78,SALINITY_FLAG_W,OXYGEN_UMOL_KG,OXYGEN_FLAG_W,DIC_UMOL_KG,DIC_FLAG_W,TA_UMOL_KG,TA_FLAG_W,NITRATE_NITRITE_UMOL_KG,NITRATE_NITRITE_FLAG_W,SILICATE_UMOL_KG,SILICATE_FLAG_W,PHOSPHATE_UMOL_KG,PHOSPHATE_FLAG_W,original_filename,,,,,,,,,,,,,,
18PZ19900509,1990.01,16,3,-999,1990,5,13,1:42,133,-134.66,49.28,-999,20,-999,8.07,-999,-999,32.559,2,298.6,2,2015.3,2,-999,9,10.9,2,16.2,2,1.11,2,1990-001-0003.bot,,,,,,,,,,,,,,
18PZ19900509,1990.01,16,3,-999,1990,5,13,1:42,133,-134.66,49.28,-999,30,-999,8.02,-999,-999,32.577,2,298.5,2,2018.2,2,-999,9,10.9,2,16.5,2,1.10,2,1990-001-0003.bot,,,,,,,,,,,,,,
18PZ19900509,1990.01,16,3,-999,1990,5,13,1:42,133,-134.66,49.28,-999,51,-999,7.39,-999,-999,32.619,2,297.6,2,2024.7,2,-999,9,11.6,2,17.4,2,1.15,2,1990-001-0003.bot,,,,,,,,,,,,,,
18PZ19900509,1990.01,16,3,-999,1990,5,13,1:42,133,-134.66,49.28,-999,74,-999,6.54,-999,-999,32.67,2,297.4,2,2034.8,2,-999,9,13.1,2,18.4,2,1.24,2,1990-001-0003.bot,,,,,,,,,,,,,,
18PZ19900509,1990.01,16,3,-999,1990,5,13,1:42,133,-134.66,49.28,-999,99,-999,6.25,-999,-999,32.703,2,295.1,2,2039.5,2,-999,9,14.0,2,19.3,2,1.30,2,1990-001-0003.bot,,,,,,,,,,,,,,
18PZ19900509,1990.01,16,3,-999,1990,5,13,1:42,133,-134.66,49.28,-999,124,-999,5.75,-999,-999,32.997,2,274.4,2,2075.5,2,-999,9,17.6,2,23.5,2,1.47,2,1990-001-0003.bot,,,,,,,,,,,,,,
18PZ19900509,1990.01,16,3,-999,1990,5,13,1:42,133,-134.66,49.28,-999,150,-999,5.54,-999,-999,33.475,2,234.3,2,2127.6,2,-999,9,22.6,2,31.9,2,1.70,2,1990-001-0003.bot,,,,,,,,,,,,,,
18PZ19900509,1990.01,16,3,-999,1990,5,13,1:42,133,-134.66,49.28,-999,174,-999,5.66,-999,-999,33.731,2,197.2,2,2163.2,2,-999,9,25.6,2,40.7,2,1.87,2,1990-001-0003.bot,,,,,,,,,,,,,,
18PZ19900509,1990.01,16,3,-999,1990,5,13,1:42,133,-134.66,49.28,-999,199,-999,5.51,-999,-999,33.794,2,176.5,2,2181.9,2,-999,9,27.9,2,46.8,2,2.04,2,1990-001-0003.bot,,,,,,,,,,,,,,
18PZ19900509,1990.01,16,3,-999,1990,5,13,1:42,133,-134.66,49.28,-999,249,-999,4.93,-999,-999,33.84,2,125.5,2,2230.6,2,-999,9,33.8,2,61.4,2,2.43,2,1990-001-0003.bot,,,,,,,,,,,,,,
