PrDM,T090C,T190C,C0S/m,C1S/m,FlECO-AFL,Sbeox0V,AltM,DepSM,Dz/dtM,Sal00,Sal11,Sbeox0ML/L,Density00,Density11,SvCM,SvCM1,Flag
1.000,12.8527,12.8544,3.746942,3.747341,1.2671,2.7751,4.92,0.991,0.241,31.8108,31.8131,7.3799,1023.9566,1023.9581,1495.94,1495.95,0.0000e+00
2.000,12.6403,12.6395,3.728181,3.728676,1.4464,2.6979,4.82,1.983,0.440,31.8117,31.8171,6.9650,1024.0025,1024.0068,1495.24,1495.24,0.0000e+00
3.000,12.3771,12.3771,3.706682,3.707245,1.3269,2.5899,4.10,2.974,0.330,31.8294,31.8347,6.5599,1024.0707,1024.0749,1494.38,1494.39,0.0000e+00
4.000,12.0810,12.0511,3.681442,3.680108,1.1682,2.4566,4.44,3.966,0.494,31.8388,31.8515,5.9673,1024.1379,1024.1533,1493.39,1493.30,0.0000e+00
5.000,11.3908,11.3784,3.630739,3.630866,1.1680,2.3360,5.16,4.957,0.462,31.9393,31.9513,5.7726,1024.3464,1024.3578,1491.14,1491.11,0.0000e+00
6.000,11.2580,11.2554,3.621161,3.621613,0.8868,2.2503,19.57,5.949,0.450,31.9601,31.9668,5.5935,1024.3908,1024.3965,1490.71,1490.71,0.0000e+00
7.000,11.1764,11.1611,3.616425,3.616121,0.9507,2.1769,88.44,6.940,0.633,31.9840,31.9943,5.3378,1024.4284,1024.4391,1490.47,1490.43,0.0000e+00
8.000,10.8256,10.8109,3.592649,3.592287,0.8793,2.1212,49.36,7.932,0.584,32.0547,32.0641,5.2443,1024.5495,1024.5592,1489.34,1489.29,0.0000e+00
9.000,10.5107,10.4972,3.569813,3.569627,0.6219,2.0689,99.49,8.923,0.495,32.1036,32.1136,5.1781,1024.6463,1024.6564,1488.29,1488.25,0.0000e+00
10.000,10.3543,10.3493,3.559436,3.559797,0.7243,2.0270,98.83,9.915,0.591,32.1374,32.1455,5.0567,1024.7037,1024.7108,1487.79,1487.78,0.0000e+00
11.000,10.1639,10.1484,3.547458,3.547151,0.5796,1.9887,98.83,10.906,0.610,32.1853,32.1959,4.9423,1024.7775,1024.7884,1487.18,1487.14,0.0000e+00
12.000,9.6313,9.5975,3.513344,3.512184,0.5420,1.9500,88.08,11.897,0.528,32.3149,32.3335,4.8874,1024.9707,1024.9907,1485.42,1485.32,0.0000e+00
13.000,9.1295,9.1123,3.480887,3.480582,0.4345,1.9162,99.06,12.889,0.578,32.4349,32.4474,4.8706,1025.1490,1025.1615,1483.74,1483.69,0.0000e+00
14.000,8.8774,8.8752,3.464365,3.464952,0.3517,1.8943,79.41,13.880,0.654,32.4931,32.5011,4.8529,1025.2384,1025.2450,1482.89,1482.90,0.0000e+00
15.000,8.7799,8.7759,3.458026,3.458463,0.3184,1.8772,98.67,14.872,0.643,32.5159,32.5241,4.8361,1025.2758,1025.2829,1482.58,1482.57,0.0000e+00
