PrDM,T090C,T190C,C0S/m,C1S/m,FlECO-AFL,Sbeox0V,AltM,DepSM,Dz/dtM,Sal00,Sal11,Sbeox0ML/L,Density00,Density11,SvCM,SvCM1,Flag
1.000,12.5401,12.5415,3.873153,3.873477,0.4026,2.3926,5.09,0.993,0.692,33.2809,33.2828,6.2305,1025.1557,1025.1569,1496.63,1496.63,0.0000e+00
2.000,12.5385,12.5379,3.873066,3.873203,0.4536,2.3922,3.86,1.985,0.859,33.2811,33.2829,6.2276,1025.1606,1025.1622,1496.64,1496.64,0.0000e+00
3.000,12.5372,12.5368,3.873020,3.873185,0.4553,2.3917,2.95,2.978,0.724,33.2814,33.2833,6.2148,1025.1656,1025.1672,1496.65,1496.65,0.0000e+00
4.000,12.5390,12.5392,3.873221,3.873447,0.3991,2.3896,3.85,3.970,0.582,33.2814,33.2833,6.2327,1025.1697,1025.1712,1496.67,1496.68,0.0000e+00
5.000,12.5350,12.5348,3.872923,3.873113,0.3892,2.3884,28.99,4.963,0.771,33.2816,33.2835,6.2272,1025.1751,1025.1767,1496.68,1496.68,0.0000e+00
6.000,12.5323,12.5329,3.872726,3.873001,0.4044,2.3900,93.81,5.955,0.529,33.2817,33.2838,6.2189,1025.1802,1025.1817,1496.68,1496.69,0.0000e+00
7.000,12.5380,12.5372,3.873273,3.873398,0.3910,2.3891,56.51,6.948,0.527,33.2814,33.2834,6.2218,1025.1834,1025.1851,1496.72,1496.72,0.0000e+00
8.000,12.5341,12.5283,3.872975,3.872695,0.3911,2.3868,26.33,7.940,0.946,33.2816,33.2841,6.2042,1025.1888,1025.1918,1496.72,1496.71,0.0000e+00
9.000,12.5428,12.5424,3.873798,3.873974,0.4488,2.3859,98.29,8.933,0.968,33.2814,33.2835,6.2078,1025.1914,1025.1931,1496.77,1496.77,0.0000e+00
10.000,12.5448,12.5443,3.874014,3.874166,0.4619,2.3856,83.27,9.925,0.889,33.2812,33.2832,6.2092,1025.1954,1025.1970,1496.79,1496.79,0.0000e+00
11.000,12.5448,12.5433,3.874048,3.874139,0.4362,2.3849,97.74,10.918,0.759,33.2812,33.2834,6.2178,1025.1999,1025.2019,1496.81,1496.81,0.0000e+00
12.000,12.5441,12.5430,3.874026,3.874140,0.4422,2.3874,98.82,11.910,0.613,33.2812,33.2832,6.2232,1025.2045,1025.2063,1496.82,1496.82,0.0000e+00
13.000,12.5365,12.5354,3.873404,3.873534,0.4092,2.3853,98.83,12.903,0.588,33.2815,33.2837,6.2086,1025.2107,1025.2126,1496.81,1496.81,0.0000e+00
14.000,12.5273,12.5261,3.872653,3.872739,0.4155,2.3851,96.66,13.895,0.711,33.2821,33.2840,6.2088,1025.2175,1025.2191,1496.80,1496.80,0.0000e+00
15.000,12.5208,12.5204,3.872139,3.872324,0.4185,2.3830,86.97,14.888,0.857,33.2825,33.2846,6.1935,1025.2234,1025.2252,1496.79,1496.80,0.0000e+00
16.000,12.5127,12.5140,3.871463,3.871745,0.4180,2.3809,99.56,15.880,1.254,33.2827,33.2843,6.1770,1025.2297,1025.2307,1496.78,1496.79,0.0000e+00
17.000,12.4998,12.5026,3.870428,3.870786,0.4404,2.3788,98.83,16.872,1.703,33.2838,33.2849,6.1632,1025.2376,1025.2378,1496.76,1496.77,0.0000e+00
18.000,12.4789,12.4763,3.868664,3.868573,0.4416,2.3760,98.83,17.865,1.878,33.2851,33.2865,6.1509,1025.2471,1025.2486,1496.70,1496.70,0.0000e+00
19.000,12.4774,12.4774,3.868568,3.868757,0.4759,2.3735,98.83,18.857,1.856,33.2851,33.2868,6.1401,1025.2518,1025.2532,1496.72,1496.72,0.0000e+00
20.000,12.4791,12.4760,3.868689,3.868636,0.4783,2.3700,98.83,19.850,1.741,33.2843,33.2865,6.1251,1025.2554,1025.2577,1496.74,1496.73,0.0000e+00
21.000,12.4436,12.4387,3.865683,3.865476,0.4691,2.3660,98.83,20.842,1.569,33.2866,33.2889,6.1152,1025.2685,1025.2712,1496.64,1496.62,0.0000e+00
22.000,12.3706,12.3799,3.859353,3.860096,0.4895,2.3629,98.83,21.835,1.220,33.2901,33.2889,6.0941,1025.2897,1025.2870,1496.41,1496.44,0.0000e+00
23.000,12.3221,12.3013,3.855112,3.853449,0.4345,2.3483,98.83,22.827,0.519,33.2919,33.2944,6.0108,1025.3049,1025.3109,1496.26,1496.20,0.0000e+00
24.000,12.0608,12.0500,3.832096,3.831218,0.3397,2.3148,90.41,23.819,0.571,33.3020,33.3032,5.9264,1025.3669,1025.3698,1495.40,1495.36,0.0000e+00
25.000,11.7678,11.7791,3.806989,3.808186,0.2944,2.2636,75.25,24.812,0.443,33.3198,33.3213,5.7776,1025.4402,1025.4393,1494.43,1494.47,0.0000e+00
26.000,11.4814,11.4777,3.782063,3.781569,0.2792,2.2196,99.41,25.804,0.581,33.3331,33.3315,5.6401,1025.5079,1025.5074,1493.47,1493.46,0.0000e+00
27.000,11.2600,11.2600,3.762792,3.762917,0.2518,2.1987,67.83,26.797,0.680,33.3430,33.3442,5.6457,1025.5605,1025.5614,1492.73,1492.73,0.0000e+00
28.000,11.1940,11.1917,3.756856,3.756828,0.2259,2.1852,78.25,27.789,0.718,33.3436,33.3455,5.6520,1025.5774,1025.5793,1492.52,1492.51,0.0000e+00
29.000,11.1463,11.1460,3.752283,3.752500,0.2526,2.1787,98.44,28.782,0.679,33.3413,33.3437,5.6514,1025.5887,1025.5907,1492.36,1492.36,0.0000e+00
30.000,11.1264,11.1258,3.750570,3.750750,0.2538,2.1649,97.91,29.774,0.416,33.3419,33.3443,5.5951,1025.5973,1025.5992,1492.31,1492.31,0.0000e+00
31.000,11.0633,11.0576,3.745078,3.744718,0.2478,2.1470,65.89,30.766,0.411,33.3443,33.3459,5.5314,1025.6150,1025.6173,1492.11,1492.09,0.0000e+00
32.000,10.9103,10.8940,3.731207,3.730069,0.2174,2.1118,98.97,31.759,0.230,33.3451,33.3487,5.4176,1025.6474,1025.6531,1491.59,1491.53,0.0000e+00
33.000,10.7858,10.7765,3.720291,3.719754,0.2117,2.0854,89.92,32.751,0.448,33.3493,33.3525,5.3721,1025.6773,1025.6814,1491.17,1491.14,0.0000e+00
34.000,10.7510,10.7518,3.717360,3.717708,0.1996,2.0772,98.71,33.743,0.875,33.3514,33.3541,5.3173,1025.6896,1025.6915,1491.07,1491.07,0.0000e+00
35.000,10.7325,10.7317,3.715908,3.716102,0.2374,2.0641,84.63,34.736,0.984,33.3533,33.3560,5.2450,1025.6988,1025.7010,1491.02,1491.02,0.0000e+00
36.000,10.6628,10.6583,3.710102,3.709905,0.2437,2.0497,71.06,35.728,0.686,33.3585,33.3606,5.1652,1025.7196,1025.7220,1490.79,1490.78,0.0000e+00
37.000,10.4071,10.3967,3.687069,3.686154,0.1981,1.9786,98.01,36.721,0.519,33.3608,33.3612,4.8277,1025.7703,1025.7724,1489.90,1489.87,0.0000e+00
38.000,9.9948,9.9862,3.647108,3.646100,0.1822,1.9413,98.83,37.713,0.855,33.3354,33.3331,4.7716,1025.8254,1025.8250,1488.41,1488.38,0.0000e+00
39.000,9.8105,9.8094,3.628716,3.628813,0.2113,1.9149,98.83,38.705,0.628,33.3179,33.3199,4.7721,1025.8471,1025.8489,1487.74,1487.74,0.0000e+00
40.000,9.8032,9.8031,3.628818,3.629223,0.2349,1.8925,74.92,39.698,0.484,33.3253,33.3295,4.7986,1025.8587,1025.8620,1487.74,1487.74,0.0000e+00
41.000,9.8239,9.8241,3.633014,3.633320,0.1849,1.8857,98.66,40.690,0.480,33.3485,33.3515,4.8598,1025.8779,1025.8802,1487.86,1487.86,0.0000e+00
42.000,9.8777,9.8784,3.644333,3.644846,0.2065,1.8945,98.83,41.682,0.538,33.4137,33.4183,4.9593,1025.9244,1025.9278,1488.15,1488.16,0.0000e+00
43.000,9.9933,9.9958,3.660365,3.661112,0.2221,1.9109,98.83,42.675,0.461,33.4695,33.4747,5.0199,1025.9530,1025.9567,1488.65,1488.67,0.0000e+00
44.000,10.0703,10.0723,3.670442,3.671012,0.2408,1.9370,98.83,43.667,0.443,33.5002,33.5041,5.0664,1025.9684,1025.9712,1488.98,1488.99,0.0000e+00
45.000,10.1767,10.1892,3.685594,3.687831,0.2699,1.9455,98.83,44.659,0.792,33.5547,33.5658,5.0350,1025.9973,1026.0039,1489.45,1489.50,0.0000e+00
46.000,10.3956,10.3987,3.714330,3.715240,0.2482,1.9445,98.83,45.652,0.822,33.6423,33.6485,4.9733,1026.0325,1026.0368,1490.35,1490.37,0.0000e+00
47.000,10.4632,10.4640,3.724702,3.725146,0.2343,1.9345,72.91,46.644,0.574,33.6837,33.6875,4.8951,1026.0576,1026.0604,1490.66,1490.67,0.0000e+00
48.000,10.4875,10.4865,3.728095,3.728234,0.2572,1.9199,99.44,47.636,1.155,33.6950,33.6973,4.8194,1026.0667,1026.0686,1490.78,1490.78,0.0000e+00
49.000,10.4404,10.4399,3.724259,3.724338,0.2644,1.9152,96.58,48.629,1.186,33.6995,33.7008,4.8142,1026.0829,1026.0840,1490.63,1490.63,0.0000e+00
50.000,10.3847,10.3833,3.719500,3.719540,0.2833,1.9024,70.24,49.621,0.757,33.7028,33.7044,4.7684,1026.0997,1026.1012,1490.45,1490.45,0.0000e+00
51.000,10.3189,10.3171,3.713433,3.713448,0.3110,1.8776,99.05,50.613,0.988,33.7021,33.7039,4.6525,1026.1150,1026.1167,1490.23,1490.23,0.0000e+00
52.000,10.2807,10.2806,3.710582,3.710826,0.3266,1.8669,81.87,51.605,0.828,33.7083,33.7109,4.6219,1026.1310,1026.1330,1490.12,1490.12,0.0000e+00
53.000,10.2479,10.2468,3.708069,3.708179,0.2405,1.8507,93.42,52.598,0.461,33.7128,33.7150,4.5806,1026.1447,1026.1466,1490.03,1490.02,0.0000e+00
54.000,10.2024,10.1959,3.703912,3.703527,0.1951,1.8293,99.03,53.590,0.420,33.7126,33.7148,4.5073,1026.1569,1026.1597,1489.88,1489.86,0.0000e+00
55.000,10.1495,10.1475,3.699132,3.699114,0.2253,1.8130,98.83,54.582,0.740,33.7130,33.7146,4.4716,1026.1707,1026.1723,1489.71,1489.70,0.0000e+00
56.000,10.1200,10.1208,3.696746,3.697178,0.2442,1.8035,74.34,55.575,0.566,33.7158,33.7194,4.4492,1026.1825,1026.1852,1489.62,1489.63,0.0000e+00
57.000,10.0838,10.0829,3.693651,3.693677,0.1949,1.7738,100.95,56.567,0.695,33.7176,33.7187,4.3016,1026.1946,1026.1956,1489.51,1489.51,0.0000e+00
58.000,9.9932,9.9928,3.684671,3.684868,0.1807,1.7637,98.84,57.559,1.104,33.7103,33.7127,4.2733,1026.2088,1026.2108,1489.19,1489.19,0.0000e+00
59.000,9.9869,9.9884,3.686211,3.686767,0.1716,1.7533,98.84,58.551,0.987,33.7314,33.7357,4.2403,1026.2309,1026.2340,1489.21,1489.22,0.0000e+00
60.000,9.9599,9.9529,3.684984,3.684548,0.1548,1.7338,80.53,59.544,0.482,33.7437,33.7457,4.1948,1026.2496,1026.2524,1489.14,1489.12,0.0000e+00
61.000,9.8954,9.8982,3.679001,3.679519,0.1959,1.7137,99.12,60.536,0.568,33.7425,33.7452,4.1680,1026.2641,1026.2657,1488.93,1488.94,0.0000e+00
62.000,9.8962,9.8961,3.679134,3.679385,0.1392,1.7058,98.85,61.528,0.492,33.7427,33.7454,4.1647,1026.2686,1026.2708,1488.95,1488.95,0.0000e+00
63.000,9.8741,9.8742,3.677526,3.677799,0.4007,1.7000,98.85,62.520,0.549,33.7465,33.7492,4.1598,1026.2799,1026.2819,1488.89,1488.89,0.0000e+00
64.000,9.8724,9.8732,3.677450,3.677758,0.1876,1.6962,98.85,63.512,0.571,33.7468,33.7493,4.1526,1026.2850,1026.2867,1488.90,1488.90,0.0000e+00
65.000,9.8673,9.8674,3.677116,3.677383,0.1735,1.6931,98.85,64.505,0.507,33.7478,33.7504,4.1518,1026.2911,1026.2932,1488.90,1488.90,0.0000e+00
66.000,9.8641,9.8638,3.676992,3.677244,0.1844,1.6916,98.85,65.497,0.522,33.7491,33.7519,4.1537,1026.2972,1026.2994,1488.90,1488.91,0.0000e+00
67.000,9.8571,9.8576,3.676541,3.676835,0.1820,1.6906,98.85,66.489,0.646,33.7505,33.7531,4.1615,1026.3040,1026.3059,1488.90,1488.90,0.0000e+00
68.000,9.8252,9.8260,3.673872,3.674176,0.1690,1.6923,98.85,67.481,0.634,33.7527,33.7551,4.1735,1026.3156,1026.3173,1488.80,1488.81,0.0000e+00
69.000,9.7604,9.7514,3.667903,3.667258,0.1706,1.6921,96.38,68.474,0.391,33.7519,33.7537,4.1580,1026.3304,1026.3333,1488.58,1488.55,0.0000e+00
70.000,9.6483,9.6411,3.657381,3.656926,0.3140,1.6755,99.03,69.466,0.621,33.7487,33.7508,3.9446,1026.3512,1026.3540,1488.19,1488.16,0.0000e+00
71.000,9.5612,9.5568,3.648676,3.648305,0.2011,1.6511,98.85,70.458,0.930,33.7407,33.7410,3.8122,1026.3639,1026.3648,1487.88,1487.86,0.0000e+00
72.000,9.4227,9.4164,3.634273,3.633815,0.2116,1.6275,98.85,71.450,0.769,33.7221,33.7233,3.7489,1026.3767,1026.3787,1487.36,1487.34,0.0000e+00
73.000,9.3550,9.3506,3.627970,3.627794,0.1865,1.5886,98.85,72.442,0.434,33.7203,33.7226,3.6758,1026.3909,1026.3934,1487.13,1487.12,0.0000e+00
