PrDM,T090C,T190C,C0S/m,C1S/m,FlECO-AFL,Sbeox0V,AltM,DepSM,Dz/dtM,Sal00,Sal11,Sbeox0ML/L,Density00,Density11,SvCM,SvCM1,Flag
88.000,7.9046,7.9048,3.509116,3.509476,0.1108,1.2987,98.88,87.297,1.118,33.8480,33.8517,2.8664,1026.7854,1026.7882,1482.13,1482.14,0.0000e+00
89.000,7.8893,7.8901,3.508194,3.508602,0.1286,1.2961,98.88,88.289,0.629,33.8524,33.8561,2.8644,1026.7957,1026.7985,1482.09,1482.10,0.0000e+00
90.000,7.8739,7.8740,3.507254,3.507614,0.1309,1.2899,98.88,89.280,0.400,33.8569,33.8605,2.8488,1026.8060,1026.8089,1482.06,1482.06,0.0000e+00
91.000,7.8659,7.8662,3.506748,3.507114,0.1303,1.2858,98.88,90.272,0.611,33.8587,33.8623,2.8170,1026.8132,1026.8160,1482.05,1482.05,0.0000e+00
92.000,7.8435,7.8440,3.505538,3.505913,0.1303,1.2811,67.83,91.264,0.866,33.8669,33.8705,2.7891,1026.8275,1026.8303,1481.99,1481.99,0.0000e+00
93.000,7.8310,7.8307,3.504906,3.505232,0.1169,1.2772,99.29,92.256,0.967,33.8718,33.8756,2.7715,1026.8378,1026.8409,1481.96,1481.97,0.0000e+00
94.000,7.8098,7.8101,3.503453,3.503815,0.1200,1.2724,98.88,93.247,0.795,33.8763,33.8799,2.7648,1026.8491,1026.8518,1481.90,1481.91,0.0000e+00
95.000,7.7756,7.7754,3.501209,3.501544,0.1116,1.2625,98.87,94.239,0.667,33.8849,33.8887,2.7281,1026.8654,1026.8684,1481.80,1481.80,0.0000e+00
96.000,7.7426,7.7430,3.499349,3.499689,0.1169,1.2550,98.88,95.231,1.207,33.8965,33.8998,2.6940,1026.8840,1026.8865,1481.71,1481.71,0.0000e+00
97.000,7.7313,7.7316,3.498727,3.499094,0.1271,1.2517,98.88,96.223,1.267,33.9003,33.9039,2.6877,1026.8932,1026.8960,1481.68,1481.69,0.0000e+00
98.000,7.7258,7.7265,3.498385,3.498780,0.1376,1.2494,98.88,97.215,0.980,33.9015,33.9051,2.6896,1026.8995,1026.9022,1481.68,1481.69,0.0000e+00
99.000,7.7233,7.7236,3.498293,3.498653,0.1270,1.2423,98.88,98.206,0.461,33.9024,33.9060,2.6647,1026.9051,1026.9079,1481.69,1481.69,0.0000e+00
100.000,7.7207,7.7209,3.498201,3.498555,0.1487,1.2343,98.88,99.198,0.778,33.9035,33.9072,2.6282,1026.9109,1026.9138,1481.70,1481.70,0.0000e+00
101.000,7.7101,7.7102,3.497604,3.497952,0.1376,1.2317,98.88,100.190,0.853,33.9069,33.9106,2.6233,1026.9197,1026.9226,1481.68,1481.68,0.0000e+00
102.000,7.7025,7.7030,3.497168,3.497543,0.1574,1.2272,95.36,101.181,0.618,33.9092,33.9126,2.6063,1026.9272,1026.9299,1481.67,1481.67,0.0000e+00
103.000,7.6995,7.6999,3.497023,3.497394,0.1461,1.2187,92.76,102.173,0.426,33.9100,33.9136,2.5777,1026.9329,1026.9357,1481.67,1481.68,0.0000e+00
104.000,7.6925,7.6929,3.496633,3.496985,0.1420,1.2148,98.75,103.165,0.598,33.9121,33.9155,2.5755,1026.9401,1026.9428,1481.67,1481.67,0.0000e+00
105.000,7.6802,7.6799,3.495870,3.496190,0.1607,1.2101,91.87,104.157,0.461,33.9154,33.9191,2.5506,1026.9491,1026.9520,1481.64,1481.64,0.0000e+00
106.000,7.6693,7.6698,3.495200,3.495578,0.1704,1.2050,89.89,105.148,0.770,33.9184,33.9219,2.5192,1026.9576,1026.9603,1481.62,1481.62,0.0000e+00
