PrDM,T090C,T190C,C0S/m,C1S/m,FlECO-AFL,Sbeox0V,AltM,DepSM,Dz/dtM,Sal00,Sal11,Sbeox0ML/L,Density00,Density11,SvCM,SvCM1,Flag
2.000,9.6573,9.6567,3.661818,3.661992,0.4896,1.9172,-1.02,1.985,0.343,33.8168,33.8191,4.9465,1026.0944,1026.0963,1487.18,1487.18,0.0000e+00
3.000,9.6626,9.6622,3.662469,3.662671,0.5301,1.9142,23.94,2.977,0.436,33.8180,33.8204,4.9323,1026.0990,1026.1009,1487.22,1487.22,0.0000e+00
4.000,9.6614,9.6616,3.662367,3.662637,0.5266,1.9152,32.90,3.970,0.624,33.8177,33.8202,4.9326,1026.1035,1026.1054,1487.23,1487.24,0.0000e+00
5.000,9.6613,9.6611,3.662396,3.662589,0.5456,1.9124,62.14,4.962,0.520,33.8175,33.8197,4.9230,1026.1079,1026.1097,1487.25,1487.25,0.0000e+00
6.000,9.6611,9.6609,3.662398,3.662600,0.4851,1.9121,70.26,5.955,0.448,33.8173,33.8196,4.9267,1026.1123,1026.1141,1487.26,1487.27,0.0000e+00
7.000,9.6589,9.6584,3.662188,3.662360,0.5311,1.9114,98.91,6.947,0.623,33.8168,33.8191,4.9268,1026.1168,1026.1186,1487.27,1487.27,0.0000e+00
8.000,9.6564,9.6572,3.661964,3.662261,0.5544,1.9113,98.83,7.939,0.618,33.8164,33.8187,4.9361,1026.1214,1026.1231,1487.28,1487.28,0.0000e+00
9.000,9.6618,9.6616,3.662534,3.662750,0.5102,1.9120,92.94,8.932,0.365,33.8167,33.8192,4.9307,1026.1253,1026.1273,1487.32,1487.32,0.0000e+00
10.000,9.6615,9.6616,3.662568,3.662838,0.5123,1.9113,99.04,9.924,0.557,33.8169,33.8195,4.9295,1026.1301,1026.1321,1487.33,1487.33,0.0000e+00
11.000,9.6621,9.6631,3.662705,3.663056,0.5918,1.9114,80.32,10.917,0.640,33.8172,33.8200,4.9331,1026.1348,1026.1367,1487.35,1487.36,0.0000e+00
12.000,9.6628,9.6619,3.662858,3.662995,0.5387,1.9121,93.24,11.909,0.413,33.8177,33.8199,4.9413,1026.1396,1026.1414,1487.37,1487.37,0.0000e+00
13.000,9.6671,9.6668,3.663373,3.663596,0.5057,1.9142,99.00,12.901,0.504,33.8185,33.8211,4.9472,1026.1440,1026.1461,1487.40,1487.40,0.0000e+00
14.000,9.6636,9.6618,3.663045,3.663095,0.5882,1.9128,86.76,13.894,0.517,33.8180,33.8202,4.9269,1026.1487,1026.1507,1487.41,1487.40,0.0000e+00
15.000,9.6603,9.6608,3.662744,3.663034,0.5590,1.9112,61.95,14.886,0.443,33.8176,33.8200,4.9215,1026.1535,1026.1553,1487.41,1487.42,0.0000e+00
16.000,9.6537,9.6545,3.662045,3.662368,0.5364,1.9086,99.02,15.879,0.574,33.8161,33.8187,4.9243,1026.1579,1026.1599,1487.40,1487.41,0.0000e+00
17.000,9.6554,9.6544,3.662265,3.662375,0.5183,1.9091,95.46,16.871,0.409,33.8163,33.8184,4.9218,1026.1623,1026.1642,1487.42,1487.42,0.0000e+00
18.000,9.6549,9.6542,3.662232,3.662411,0.4950,1.9072,49.42,17.863,0.689,33.8160,33.8185,4.9227,1026.1668,1026.1688,1487.44,1487.44,0.0000e+00
19.000,9.6536,9.6556,3.662101,3.662551,0.5735,1.9063,98.94,18.856,0.921,33.8154,33.8182,4.9135,1026.1710,1026.1729,1487.45,1487.46,0.0000e+00
20.000,9.6545,9.6533,3.662271,3.662350,0.5873,1.9053,87.23,19.848,0.648,33.8159,33.8178,4.9055,1026.1758,1026.1775,1487.47,1487.47,0.0000e+00
21.000,9.6499,9.6512,3.661778,3.662157,0.4960,1.9048,95.99,20.840,0.481,33.8147,33.8173,4.9014,1026.1802,1026.1820,1487.47,1487.47,0.0000e+00
22.000,9.6539,9.6528,3.662257,3.662382,0.5266,1.9015,92.17,21.833,0.974,33.8153,33.8177,4.8877,1026.1846,1026.1865,1487.50,1487.50,0.0000e+00
23.000,9.6500,9.6495,3.661927,3.662101,0.5990,1.9006,75.33,22.825,1.020,33.8152,33.8175,4.8883,1026.1896,1026.1915,1487.50,1487.50,0.0000e+00
24.000,9.6482,9.6471,3.661777,3.661884,0.5606,1.9004,39.68,23.817,0.621,33.8149,33.8170,4.8890,1026.1942,1026.1961,1487.51,1487.51,0.0000e+00
25.000,9.6269,9.6244,3.659528,3.659501,0.4872,1.8867,96.85,24.810,0.598,33.8113,33.8134,4.7633,1026.1995,1026.2016,1487.45,1487.44,0.0000e+00
26.000,9.6211,9.6197,3.658975,3.659043,0.5597,1.8763,48.79,25.802,1.009,33.8107,33.8128,4.6852,1026.2045,1026.2064,1487.44,1487.44,0.0000e+00
27.000,9.6212,9.6132,3.658955,3.658236,0.5751,1.8621,54.94,26.794,0.989,33.8100,33.8101,4.6328,1026.2085,1026.2099,1487.46,1487.43,0.0000e+00
28.000,9.5290,9.5170,3.649154,3.648170,0.4795,1.8423,78.46,27.787,0.554,33.7954,33.7966,4.6124,1026.2168,1026.2197,1487.12,1487.08,0.0000e+00
29.000,9.5064,9.5211,3.646686,3.648499,0.4269,1.8212,53.45,28.779,0.772,33.7909,33.7957,4.5417,1026.2216,1026.2229,1487.05,1487.11,0.0000e+00
30.000,9.4695,9.4700,3.643032,3.643315,0.4636,1.8119,98.38,29.771,0.862,33.7875,33.7900,4.5393,1026.2295,1026.2314,1486.93,1486.93,0.0000e+00
