PrDM,T090C,T190C,C0S/m,C1S/m,FlECO-AFL,Sbeox0V,AltM,DepSM,Dz/dtM,Sal00,Sal11,Sbeox0ML/L,Density00,Density11,SvCM,SvCM1,Flag
2.000,15.6414,15.6242,4.175004,4.173910,0.4105,2.5023,98.50,1.985,0.267,33.3860,33.3908,6.2014,1024.5957,1024.6033,1506.85,1506.80,0.0000e+00
3.000,15.6176,15.6165,4.173551,4.173689,0.4702,2.4962,98.85,2.978,0.386,33.3928,33.3950,6.1449,1024.6107,1024.6126,1506.80,1506.80,0.0000e+00
4.000,15.5997,15.5842,4.171961,4.170912,0.4920,2.4960,58.92,3.970,0.559,33.3934,33.3971,6.1584,1024.6195,1024.6258,1506.76,1506.71,0.0000e+00
5.000,15.4144,15.4178,4.156437,4.156931,0.5140,2.5018,78.76,4.963,0.548,33.4113,33.4128,6.2307,1024.6788,1024.6792,1506.21,1506.23,0.0000e+00
6.000,15.3188,15.3175,4.148393,4.148535,0.4907,2.5148,76.34,5.955,0.361,33.4200,33.4223,6.2701,1024.7110,1024.7131,1505.94,1505.94,0.0000e+00
7.000,15.2424,15.2442,4.142018,4.142404,0.5239,2.5188,97.47,6.948,0.629,33.4273,33.4292,6.2891,1024.7379,1024.7389,1505.73,1505.73,0.0000e+00
8.000,15.1622,15.1604,4.135232,4.135326,0.5419,2.5253,7.12,7.940,0.704,33.4341,33.4365,6.3466,1024.7651,1024.7674,1505.50,1505.49,0.0000e+00
9.000,15.0662,15.0622,4.127094,4.127061,0.5795,2.5381,88.46,8.933,0.412,33.4423,33.4454,6.3980,1024.7968,1024.8001,1505.22,1505.21,0.0000e+00
10.000,14.9341,14.9294,4.115952,4.115834,0.5838,2.5500,92.28,9.926,0.409,33.4541,33.4570,6.4355,1024.8390,1024.8423,1504.83,1504.82,0.0000e+00
11.000,14.8974,14.8985,4.113048,4.113360,0.6098,2.5546,83.40,10.918,0.619,33.4588,33.4607,6.4489,1024.8551,1024.8563,1504.74,1504.74,0.0000e+00
12.000,14.8664,14.8654,4.110900,4.111062,0.6248,2.5584,98.69,11.911,0.671,33.4655,33.4679,6.4745,1024.8714,1024.8734,1504.66,1504.66,0.0000e+00
13.000,14.7568,14.7537,4.103143,4.103192,0.6439,2.5656,98.83,12.903,0.434,33.4888,33.4919,6.5160,1024.9174,1024.9205,1504.36,1504.35,0.0000e+00
14.000,14.6627,14.6617,4.097103,4.097288,0.6616,2.5786,98.83,13.896,0.517,33.5144,33.5170,6.5832,1024.9618,1024.9640,1504.10,1504.10,0.0000e+00
15.000,14.5587,14.5594,4.089592,4.089910,0.7456,2.5878,98.83,14.888,0.815,33.5351,33.5374,6.6230,1025.0044,1025.0061,1503.81,1503.81,0.0000e+00
16.000,14.4844,14.4867,4.082970,4.083397,0.8272,2.5919,98.83,15.881,0.734,33.5384,33.5403,6.6286,1025.0272,1025.0282,1503.59,1503.60,0.0000e+00
17.000,14.4697,14.4700,4.081709,4.081991,0.7647,2.5938,93.11,16.873,0.420,33.5392,33.5415,6.6290,1025.0354,1025.0371,1503.56,1503.56,0.0000e+00
18.000,14.4386,14.4369,4.079277,4.079389,0.7268,2.5990,91.33,17.866,0.499,33.5433,33.5458,6.6547,1025.0497,1025.0520,1503.48,1503.48,0.0000e+00
19.000,14.4294,14.4299,4.079058,4.079296,0.7848,2.6019,98.88,18.858,0.747,33.5490,33.5507,6.6412,1025.0604,1025.0617,1503.48,1503.48,0.0000e+00
20.000,14.4002,14.3967,4.077336,4.077156,0.7983,2.5969,98.83,19.851,0.667,33.5581,33.5594,6.5986,1025.0781,1025.0799,1503.41,1503.40,0.0000e+00
21.000,14.1465,14.1383,4.054053,4.053566,0.8157,2.5825,86.71,20.843,0.434,33.5636,33.5663,6.5359,1025.1403,1025.1440,1502.61,1502.59,0.0000e+00
22.000,13.9849,13.9846,4.038639,4.038883,0.7961,2.5502,99.39,21.836,0.628,33.5615,33.5640,6.3447,1025.1768,1025.1789,1502.10,1502.10,0.0000e+00
23.000,13.9008,13.8984,4.030785,4.030715,0.7966,2.5088,98.83,22.828,0.708,33.5616,33.5631,6.1787,1025.1989,1025.2005,1501.84,1501.84,0.0000e+00
24.000,13.1533,13.0939,3.961500,3.956511,0.7269,2.4560,98.83,23.820,0.424,33.5687,33.5740,6.0947,1025.3601,1025.3760,1499.40,1499.20,0.0000e+00
25.000,12.3594,12.3488,3.888263,3.887574,0.5542,2.3784,81.49,24.813,0.577,33.5770,33.5798,5.8859,1025.5280,1025.5322,1496.76,1496.73,0.0000e+00
26.000,11.8465,11.8432,3.840609,3.840484,0.6183,2.3310,98.71,25.805,0.769,33.5762,33.5780,5.7828,1025.6290,1025.6310,1495.03,1495.02,0.0000e+00
27.000,11.4645,11.4405,3.805304,3.803609,0.5650,2.2800,98.83,26.798,0.536,33.5761,33.5812,5.6858,1025.7043,1025.7127,1493.72,1493.64,0.0000e+00
28.000,10.9398,10.9338,3.757651,3.757688,0.5010,2.2126,88.64,27.790,0.400,33.5831,33.5890,5.6123,1025.8095,1025.8151,1491.91,1491.90,0.0000e+00
29.000,10.8540,10.8557,3.749674,3.750186,0.4794,2.1760,98.95,28.783,0.705,33.5818,33.5854,5.5301,1025.8281,1025.8306,1491.63,1491.64,0.0000e+00
30.000,10.7401,10.7436,3.740051,3.740743,0.4423,2.1533,98.83,29.775,0.752,33.5899,33.5936,5.4775,1025.8591,1025.8614,1491.25,1491.27,0.0000e+00
31.000,10.6039,10.6047,3.728367,3.728825,0.4405,2.1270,98.83,30.768,0.578,33.5978,33.6016,5.4265,1025.8937,1025.8965,1490.79,1490.80,0.0000e+00
32.000,10.5050,10.5055,3.720615,3.721116,0.3941,2.0891,98.19,31.760,0.391,33.6107,33.6152,5.2950,1025.9256,1025.9291,1490.47,1490.48,0.0000e+00
33.000,10.4004,10.4056,3.712450,3.713205,0.3707,2.0500,98.86,32.752,0.767,33.6246,33.6274,5.0937,1025.9591,1025.9604,1490.13,1490.16,0.0000e+00
