PrDM,T090C,T190C,C0S/m,C1S/m,FlECO-AFL,Sbeox0V,AltM,DepSM,Dz/dtM,Sal00,Sal11,Sbeox0ML/L,Density00,Density11,SvCM,SvCM1,Flag
2.000,12.4662,12.4646,3.657571,3.657887,1.2863,2.6501,128.91,1.984,0.246,31.2869,31.2912,7.1830,1023.6291,1023.6327,1494.02,1494.02,0.0000e+00
3.000,12.4798,12.4766,3.658500,3.658696,1.5817,2.6485,6.37,2.976,0.351,31.2840,31.2885,7.1792,1023.6288,1023.6329,1494.08,1494.08,0.0000e+00
4.000,12.4928,12.4886,3.659240,3.659446,1.6168,2.6427,4.42,3.967,0.431,31.2798,31.2853,7.0712,1023.6276,1023.6326,1494.14,1494.13,0.0000e+00
5.000,12.4973,12.4942,3.659553,3.659745,1.7093,2.6123,49.24,4.959,0.651,31.2786,31.2830,6.7141,1023.6303,1023.6343,1494.17,1494.16,0.0000e+00
6.000,12.3177,12.2994,3.649959,3.649396,1.6535,2.5101,54.16,5.951,0.515,31.3367,31.3466,5.9593,1023.7136,1023.7247,1493.64,1493.59,0.0000e+00
7.000,11.6795,11.6232,3.613782,3.611186,1.3613,2.3195,45.71,6.943,0.605,31.5263,31.5490,5.0176,1023.9824,1024.0102,1491.68,1491.51,0.0000e+00
8.000,10.7752,10.7545,3.562507,3.561619,0.9646,2.1267,98.39,7.935,0.634,31.7999,31.8092,4.2730,1024.3597,1024.3705,1488.85,1488.78,0.0000e+00
9.000,10.1308,10.1255,3.520461,3.520816,0.8741,1.9248,92.22,8.927,0.633,31.9435,31.9517,3.6802,1024.5849,1024.5922,1486.73,1486.72,0.0000e+00
10.000,9.3826,9.3925,3.471100,3.472310,0.5751,1.7609,52.87,9.918,0.601,32.1065,32.1100,3.4177,1024.8388,1024.8399,1484.22,1484.26,0.0000e+00
11.000,9.2641,9.2212,3.463380,3.461285,0.4820,1.6327,81.69,10.910,0.590,32.1331,32.1502,3.2505,1024.8829,1024.9030,1483.84,1483.70,0.0000e+00
12.000,8.9006,8.8929,3.439875,3.439942,0.4338,1.5425,98.90,11.902,0.611,32.2179,32.2257,3.1819,1025.0103,1025.0176,1482.61,1482.59,0.0000e+00
13.000,8.7574,8.7563,3.431029,3.431548,0.3975,1.4870,93.98,12.894,0.640,32.2555,32.2619,3.1907,1025.0663,1025.0715,1482.14,1482.14,0.0000e+00
14.000,8.7535,8.7533,3.431377,3.431930,0.3943,1.4548,55.53,13.886,0.576,32.2623,32.2683,3.2159,1025.0767,1025.0815,1482.15,1482.16,0.0000e+00
15.000,8.7425,8.7426,3.432102,3.432633,0.3824,1.4343,84.44,14.877,0.546,32.2794,32.2849,3.2653,1025.0964,1025.1007,1482.15,1482.15,0.0000e+00
16.000,8.7205,8.7203,3.433482,3.434026,0.3986,1.4301,98.91,15.869,0.628,32.3135,32.3194,3.3093,1025.1310,1025.1356,1482.12,1482.13,0.0000e+00
17.000,8.7128,8.7125,3.434376,3.434852,0.3825,1.4293,94.19,16.861,0.627,32.3294,32.3346,3.3233,1025.1492,1025.1534,1482.13,1482.14,0.0000e+00
18.000,8.7123,8.7121,3.434733,3.435218,0.3700,1.4301,50.07,17.853,0.610,32.3331,32.3383,3.3353,1025.1568,1025.1609,1482.15,1482.16,0.0000e+00
