PrDM,T090C,T190C,C0S/m,C1S/m,FlECO-AFL,Sbeox0V,AltM,DepSM,Dz/dtM,Sal00,Sal11,Sbeox0ML/L,Density00,Density11,SvCM,SvCM1,Flag
48.000,8.6816,8.6787,3.586329,3.586401,0.2513,1.5090,86.84,47.631,0.486,33.9380,33.9415,3.4405,1026.5552,1026.5584,1484.50,1484.50,0.0000e+00
49.000,8.6535,8.6532,3.584007,3.584292,0.2267,1.4789,68.33,48.623,0.520,33.9400,33.9433,3.3912,1026.5657,1026.5683,1484.42,1484.42,0.0000e+00
50.000,8.6391,8.6385,3.582828,3.583079,0.2667,1.4671,80.95,49.615,0.693,33.9409,33.9441,3.3384,1026.5732,1026.5758,1484.38,1484.38,0.0000e+00
51.000,8.6071,8.6060,3.580152,3.580354,0.2335,1.4491,53.82,50.607,0.394,33.9431,33.9462,3.2620,1026.5844,1026.5870,1484.28,1484.28,0.0000e+00
52.000,8.5339,8.5314,3.574130,3.574211,0.2384,1.4227,90.19,51.599,0.601,33.9494,33.9526,3.1615,1026.6053,1026.6082,1484.03,1484.03,0.0000e+00
53.000,8.4957,8.4956,3.571104,3.571390,0.2511,1.4098,78.11,52.591,0.745,33.9537,33.9568,3.1526,1026.6192,1026.6216,1483.91,1483.91,0.0000e+00
54.000,8.4909,8.4902,3.570785,3.571030,0.2451,1.4000,65.57,53.584,0.466,33.9545,33.9578,3.1471,1026.6250,1026.6277,1483.91,1483.91,0.0000e+00
55.000,8.4752,8.4749,3.569654,3.569922,0.2295,1.3885,85.51,54.576,0.375,33.9572,33.9603,3.1304,1026.6341,1026.6366,1483.87,1483.87,0.0000e+00
56.000,8.4553,8.4547,3.568181,3.568439,0.2308,1.3806,80.12,55.568,0.502,33.9602,33.9636,3.1026,1026.6441,1026.6469,1483.82,1483.82,0.0000e+00
57.000,8.4467,8.4465,3.567668,3.567961,0.2368,1.3750,52.90,56.560,0.544,33.9627,33.9659,3.1053,1026.6519,1026.6545,1483.81,1483.81,0.0000e+00
58.000,8.4443,8.4442,3.567602,3.567901,0.2402,1.3733,37.55,57.552,0.647,33.9639,33.9671,3.1084,1026.6578,1026.6604,1483.81,1483.82,0.0000e+00
