PrDM,T090C,T190C,C0S/m,C1S/m,FlECO-AFL,Sbeox0V,AltM,DepSM,Dz/dtM,Sal00,Sal11,Sbeox0ML/L,Density00,Density11,SvCM,SvCM1,Flag
2.000,14.8274,14.8271,4.024167,4.024430,0.1352,2.3371,2.84,1.985,0.349,32.7152,32.7178,5.7675,1024.2570,1024.2591,1503.50,1503.50,0.0000e+00
3.000,14.8281,14.8280,4.024266,4.024554,0.1402,2.3332,3.23,2.977,0.864,32.7151,32.7178,5.7735,1024.2613,1024.2633,1503.52,1503.52,0.0000e+00
4.000,14.8319,14.8316,4.024700,4.024970,0.1517,2.3352,3.61,3.969,0.822,32.7155,32.7181,5.7637,1024.2652,1024.2673,1503.55,1503.55,0.0000e+00
5.000,14.8316,14.8318,4.024683,4.025013,0.1331,2.3309,87.61,4.961,0.618,32.7152,32.7180,5.7425,1024.2695,1024.2716,1503.56,1503.56,0.0000e+00
6.000,14.8312,14.8309,4.024698,4.024972,0.1493,2.3292,98.99,5.954,1.039,32.7153,32.7180,5.7401,1024.2741,1024.2763,1503.57,1503.58,0.0000e+00
7.000,14.8315,14.8307,4.024777,4.025015,0.1379,2.3290,98.83,6.946,1.035,32.7153,32.7181,5.7446,1024.2785,1024.2808,1503.59,1503.59,0.0000e+00
8.000,14.8330,14.8325,4.024976,4.025219,0.1336,2.3298,90.45,7.938,0.660,32.7155,32.7181,5.7546,1024.2827,1024.2849,1503.61,1503.62,0.0000e+00
9.000,14.8272,14.8272,4.024747,4.025014,0.1431,2.3300,97.99,8.930,0.468,32.7179,32.7203,5.7441,1024.2903,1024.2922,1503.61,1503.62,0.0000e+00
10.000,14.8254,14.8247,4.024713,4.024967,0.1491,2.3293,98.83,9.923,0.787,32.7188,32.7216,5.7484,1024.2958,1024.2982,1503.63,1503.63,0.0000e+00
11.000,14.8216,14.8217,4.024669,4.024957,0.1426,2.3293,74.50,10.915,0.886,32.7212,32.7237,5.7561,1024.3029,1024.3048,1503.63,1503.64,0.0000e+00
