PrDM,T090C,T190C,C0S/m,C1S/m,FlECO-AFL,Sbeox0V,AltM,DepSM,Dz/dtM,Sal00,Sal11,Sbeox0ML/L,Density00,Density11,SvCM,SvCM1,Flag
2.000,12.1631,12.1632,3.694893,3.695198,49.0211,2.6231,-1.96,1.984,-0.266,31.8987,31.9017,7.1187,1024.1602,1024.1625,1493.71,1493.72,0.0000e+00
3.000,12.1456,12.1458,3.693495,3.693986,49.0201,2.6095,18.10,2.976,0.810,31.9004,31.9046,7.0762,1024.1691,1024.1724,1493.67,1493.68,0.0000e+00
4.000,12.1385,12.1401,3.692977,3.693449,49.0206,2.6094,4.95,3.968,0.898,31.9007,31.9039,7.0774,1024.1753,1024.1775,1493.67,1493.68,0.0000e+00
5.000,12.1324,12.1296,3.692501,3.692634,49.0203,2.6101,90.83,4.960,0.716,31.9010,31.9046,7.0489,1024.1812,1024.1845,1493.66,1493.66,0.0000e+00
6.000,12.1255,12.1259,3.691996,3.692377,49.0199,2.5994,98.94,5.951,0.712,31.9015,31.9049,6.9289,1024.1874,1024.1899,1493.65,1493.66,0.0000e+00
7.000,12.1138,12.1123,3.691055,3.691276,49.0209,2.5783,98.83,6.943,0.810,31.9021,31.9056,6.7479,1024.1945,1024.1975,1493.63,1493.63,0.0000e+00
8.000,12.0081,11.9916,3.682331,3.681351,49.0200,2.5411,44.42,7.935,0.827,31.9081,31.9128,6.5026,1024.2233,1024.2300,1493.29,1493.24,0.0000e+00
9.000,11.7794,11.7956,3.663617,3.665588,49.0204,2.4881,98.49,8.927,0.786,31.9228,31.9280,6.1458,1024.2813,1024.2823,1492.53,1492.60,0.0000e+00
10.000,11.4307,11.4339,3.636506,3.637247,49.0204,2.3963,98.83,9.919,0.757,31.9592,31.9636,5.5743,1024.3773,1024.3802,1491.38,1491.40,0.0000e+00
11.000,11.0529,11.0596,3.606787,3.607579,49.0210,2.2547,94.50,10.911,0.711,31.9947,31.9968,4.9415,1024.4764,1024.4768,1490.11,1490.14,0.0000e+00
12.000,10.3258,10.3283,3.552783,3.553540,49.0203,2.1053,55.87,11.903,0.712,32.0950,32.1003,4.5641,1024.6845,1024.6882,1487.67,1487.68,0.0000e+00
