PrDM,T090C,T190C,C0S/m,C1S/m,FlECO-AFL,Sbeox0V,AltM,DepSM,Dz/dtM,Sal00,Sal11,Sbeox0ML/L,Density00,Density11,SvCM,SvCM1,Flag
2.000,9.0248,9.0245,3.617043,3.617215,0.5990,1.6959,2.46,1.985,0.274,33.9528,33.9549,4.2095,1026.3033,1026.3050,1485.03,1485.03,0.0000e+00
3.000,9.0245,9.0241,3.617038,3.617273,0.5785,1.6949,2.54,2.977,0.360,33.9527,33.9554,4.2087,1026.3078,1026.3100,1485.05,1485.05,0.0000e+00
4.000,9.0242,9.0239,3.617082,3.617299,0.5613,1.6943,2.56,3.970,0.377,33.9530,33.9555,4.1994,1026.3126,1026.3146,1485.07,1485.07,0.0000e+00
5.000,9.0242,9.0239,3.617128,3.617340,0.5374,1.6905,2.89,4.962,0.473,33.9529,33.9554,4.1917,1026.3171,1026.3191,1485.08,1485.09,0.0000e+00
6.000,9.0240,9.0238,3.617157,3.617373,0.5325,1.6889,20.07,5.955,0.491,33.9529,33.9554,4.1890,1026.3217,1026.3237,1485.10,1485.10,0.0000e+00
7.000,9.0244,9.0242,3.617240,3.617455,0.5327,1.6884,35.96,6.947,0.477,33.9530,33.9554,4.1878,1026.3262,1026.3282,1485.12,1485.12,0.0000e+00
8.000,9.0246,9.0244,3.617304,3.617520,0.5481,1.6858,51.01,7.940,0.493,33.9530,33.9554,4.1718,1026.3308,1026.3327,1485.13,1485.14,0.0000e+00
9.000,9.0249,9.0246,3.617380,3.617588,0.5774,1.6840,69.05,8.932,0.715,33.9531,33.9555,4.1710,1026.3353,1026.3373,1485.15,1485.15,0.0000e+00
10.000,9.0249,9.0247,3.617424,3.617635,0.6178,1.6831,98.84,9.925,0.764,33.9530,33.9554,4.1741,1026.3398,1026.3418,1485.17,1485.17,0.0000e+00
11.000,9.0250,9.0248,3.617470,3.617688,0.6007,1.6831,98.85,10.917,0.518,33.9529,33.9554,4.1740,1026.3443,1026.3463,1485.19,1485.19,0.0000e+00
12.000,9.0252,9.0249,3.617529,3.617741,0.5311,1.6816,83.63,11.909,0.553,33.9530,33.9554,4.1735,1026.3488,1026.3508,1485.20,1485.20,0.0000e+00
13.000,9.0252,9.0249,3.617576,3.617801,0.6034,1.6804,82.93,12.902,1.034,33.9530,33.9555,4.1753,1026.3534,1026.3555,1485.22,1485.22,0.0000e+00
14.000,9.0252,9.0252,3.617644,3.617855,0.6489,1.6839,98.57,13.894,1.069,33.9531,33.9554,4.1876,1026.3581,1026.3598,1485.24,1485.24,0.0000e+00
15.000,9.0255,9.0253,3.617703,3.617905,0.6657,1.6822,98.85,14.887,0.663,33.9530,33.9553,4.1710,1026.3625,1026.3643,1485.25,1485.26,0.0000e+00
16.000,9.0255,9.0252,3.617742,3.617947,0.5518,1.6798,68.12,15.879,0.430,33.9530,33.9554,4.1693,1026.3670,1026.3690,1485.27,1485.27,0.0000e+00
17.000,9.0256,9.0256,3.617824,3.618034,0.5566,1.6817,98.56,16.871,0.581,33.9532,33.9555,4.1783,1026.3717,1026.3735,1485.29,1485.29,0.0000e+00
18.000,9.0258,9.0256,3.617884,3.618095,0.5929,1.6798,97.90,17.864,0.620,33.9532,33.9557,4.1592,1026.3762,1026.3782,1485.30,1485.31,0.0000e+00
19.000,9.0257,9.0254,3.617914,3.618116,0.5988,1.6790,79.79,18.856,0.853,33.9532,33.9555,4.1616,1026.3808,1026.3827,1485.32,1485.32,0.0000e+00
20.000,9.0258,9.0256,3.617962,3.618170,0.5970,1.6787,56.97,19.849,0.818,33.9531,33.9555,4.1649,1026.3852,1026.3872,1485.34,1485.34,0.0000e+00
21.000,9.0254,9.0253,3.617965,3.618173,0.5695,1.6779,79.55,20.841,0.649,33.9531,33.9554,4.1698,1026.3899,1026.3917,1485.35,1485.35,0.0000e+00
22.000,9.0255,9.0254,3.618021,3.618251,0.5656,1.6795,21.95,21.833,1.277,33.9531,33.9556,4.1794,1026.3944,1026.3964,1485.37,1485.37,0.0000e+00
23.000,9.0261,9.0260,3.618121,3.618329,0.6604,1.6803,88.60,22.826,1.443,33.9531,33.9554,4.1754,1026.3989,1026.4007,1485.39,1485.39,0.0000e+00
24.000,9.0261,9.0259,3.618159,3.618371,0.6811,1.6800,67.05,23.818,1.219,33.9531,33.9554,4.1696,1026.4034,1026.4053,1485.40,1485.41,0.0000e+00
25.000,9.0256,9.0255,3.618161,3.618371,0.5945,1.6780,98.45,24.810,0.571,33.9530,33.9553,4.1624,1026.4080,1026.4098,1485.42,1485.42,0.0000e+00
26.000,9.0257,9.0253,3.618200,3.618403,0.6161,1.6769,98.85,25.803,0.850,33.9530,33.9554,4.1598,1026.4125,1026.4144,1485.43,1485.44,0.0000e+00
27.000,9.0258,9.0254,3.618258,3.618444,0.7127,1.6755,98.85,26.795,1.030,33.9530,33.9553,4.1560,1026.4170,1026.4189,1485.45,1485.45,0.0000e+00
28.000,9.0259,9.0255,3.618316,3.618502,0.7561,1.6762,98.85,27.787,0.883,33.9530,33.9553,4.1608,1026.4215,1026.4234,1485.47,1485.47,0.0000e+00
29.000,9.0255,9.0255,3.618331,3.618526,0.5859,1.6762,67.66,28.780,0.429,33.9530,33.9552,4.1619,1026.4262,1026.4279,1485.48,1485.48,0.0000e+00
30.000,9.0262,9.0259,3.618432,3.618618,0.5394,1.6755,101.36,29.772,0.705,33.9531,33.9552,4.1599,1026.4307,1026.4324,1485.50,1485.50,0.0000e+00
31.000,9.0263,9.0262,3.618497,3.618705,0.6022,1.6755,80.13,30.764,0.957,33.9531,33.9554,4.1616,1026.4352,1026.4370,1485.52,1485.52,0.0000e+00
32.000,9.0264,9.0262,3.618541,3.618733,0.6516,1.6757,73.23,31.757,0.861,33.9530,33.9553,4.1637,1026.4397,1026.4415,1485.54,1485.54,0.0000e+00
33.000,9.0261,9.0260,3.618575,3.618765,0.5810,1.6751,90.27,32.749,0.467,33.9532,33.9553,4.1588,1026.4444,1026.4460,1485.55,1485.55,0.0000e+00
34.000,9.0260,9.0261,3.618615,3.618811,0.5957,1.6739,71.35,33.741,0.766,33.9532,33.9552,4.1500,1026.4490,1026.4506,1485.57,1485.57,0.0000e+00
