PrDM,T090C,T190C,C0S/m,C1S/m,FlECO-AFL,Sbeox0V,AltM,DepSM,Dz/dtM,Sal00,Sal11,Sbeox0ML/L,Density00,Density11,SvCM,SvCM1,Flag
1.000,13.8492,13.8745,3.849218,3.852442,0.6959,2.5963,4.71,0.991,0.153,31.9322,31.9409,6.7722,1023.8527,1023.8543,1499.40,1499.49,0.0000e+00
2.000,13.9106,13.9161,3.855460,3.856373,0.8449,2.5897,4.96,1.983,0.314,31.9384,31.9422,6.7270,1023.8494,1023.8513,1499.62,1499.64,0.0000e+00
3.000,13.9281,13.9287,3.857359,3.857725,0.8818,2.5863,30.57,2.974,0.564,31.9410,31.9439,6.7172,1023.8524,1023.8545,1499.70,1499.70,0.0000e+00
4.000,13.9127,13.9135,3.855908,3.856345,0.8701,2.5843,47.86,3.966,0.483,31.9400,31.9434,6.6985,1023.8592,1023.8617,1499.66,1499.67,0.0000e+00
5.000,13.8734,13.8846,3.851950,3.853358,0.8697,2.5760,99.97,4.957,0.467,31.9357,31.9394,6.6832,1023.8684,1023.8690,1499.55,1499.59,0.0000e+00
6.000,13.5734,13.5767,3.821120,3.821710,0.8742,2.5750,98.83,5.948,0.528,31.8997,31.9025,6.7343,1023.9057,1023.9071,1498.53,1498.55,0.0000e+00
7.000,13.5154,13.5108,3.815748,3.815818,0.8635,2.5695,98.83,6.940,0.413,31.8978,31.9023,6.7040,1023.9203,1023.9247,1498.35,1498.34,0.0000e+00
8.000,13.3419,13.3386,3.799943,3.800061,0.8559,2.5563,98.83,7.931,0.482,31.8951,31.8990,6.6217,1023.9573,1023.9610,1497.79,1497.78,0.0000e+00
9.000,13.1982,13.2013,3.788490,3.789061,0.8726,2.5253,98.83,8.922,0.570,31.9080,31.9108,6.3701,1024.0002,1024.0017,1497.34,1497.36,0.0000e+00
10.000,12.8922,12.8978,3.762532,3.763172,0.8966,2.4515,98.83,9.914,0.567,31.9210,31.9223,5.9845,1024.0743,1024.0743,1496.35,1496.37,0.0000e+00
11.000,11.9443,11.9674,3.684975,3.686691,0.8461,2.3600,98.83,10.905,0.602,31.9869,31.9836,5.7329,1024.3092,1024.3025,1493.21,1493.29,0.0000e+00
12.000,11.0695,11.0711,3.615443,3.615866,0.7831,2.2727,98.83,11.896,0.627,32.0653,32.0681,5.5633,1024.5331,1024.5350,1490.28,1490.29,0.0000e+00
13.000,10.7635,10.7600,3.591385,3.591846,0.7112,2.1972,85.57,12.888,0.517,32.0945,32.1022,5.4049,1024.6138,1024.6203,1489.24,1489.24,0.0000e+00
14.000,10.3270,10.3242,3.557375,3.557999,0.5898,2.1125,87.37,13.879,0.448,32.1391,32.1478,5.2566,1024.7276,1024.7349,1487.76,1487.76,0.0000e+00
15.000,9.9434,9.9457,3.528455,3.529248,0.5717,2.0572,98.90,14.870,0.552,32.1877,32.1937,5.2208,1024.8342,1024.8385,1486.45,1486.47,0.0000e+00
16.000,9.7752,9.7762,3.515895,3.516584,0.5065,2.0241,98.83,15.862,0.504,32.2100,32.2161,5.1640,1024.8837,1024.8883,1485.88,1485.89,0.0000e+00
17.000,9.6686,9.6682,3.508324,3.508900,0.4788,1.9856,98.83,16.853,0.534,32.2279,32.2341,5.0291,1024.9196,1024.9245,1485.53,1485.54,0.0000e+00
18.000,9.4962,9.4999,3.498260,3.499039,0.4775,1.9543,66.53,17.844,0.638,32.2795,32.2841,4.9596,1024.9922,1024.9953,1484.98,1485.00,0.0000e+00
19.000,9.3951,9.3953,3.492895,3.493490,0.4009,1.9294,97.29,18.836,0.465,32.3151,32.3211,4.9350,1025.0408,1025.0454,1484.67,1484.68,0.0000e+00
20.000,9.3672,9.3660,3.491910,3.492423,0.3660,1.9029,98.83,19.827,0.471,32.3298,32.3361,4.8637,1025.0613,1025.0664,1484.60,1484.61,0.0000e+00
21.000,9.3095,9.3110,3.488481,3.489084,0.3601,1.8853,81.98,20.818,0.595,32.3462,32.3511,4.8217,1025.0879,1025.0914,1484.43,1484.44,0.0000e+00
22.000,9.2347,9.2363,3.484209,3.484845,0.3522,1.8695,89.32,21.810,0.500,32.3695,32.3747,4.7878,1025.1225,1025.1262,1484.20,1484.21,0.0000e+00
23.000,9.2033,9.2025,3.482737,3.483252,0.3371,1.8537,98.74,22.801,0.458,32.3824,32.3884,4.7313,1025.1421,1025.1469,1484.11,1484.12,0.0000e+00
24.000,9.1544,9.1528,3.480049,3.480481,0.3344,1.8355,98.84,23.792,0.522,32.3986,32.4045,4.6719,1025.1670,1025.1718,1483.97,1483.97,0.0000e+00
25.000,9.0776,9.0780,3.476047,3.476546,0.3269,1.8224,73.00,24.784,0.620,32.4266,32.4314,4.6394,1025.2055,1025.2091,1483.74,1483.74,0.0000e+00
26.000,9.0183,9.0174,3.472819,3.473275,0.3233,1.8096,97.70,25.775,0.495,32.4467,32.4523,4.5817,1025.2351,1025.2395,1483.56,1483.56,0.0000e+00
27.000,8.9175,8.9092,3.466828,3.466887,0.2618,1.7846,98.84,26.766,0.482,32.4761,32.4843,4.4438,1025.2783,1025.2859,1483.24,1483.22,0.0000e+00
28.000,8.7328,8.7331,3.456181,3.456681,0.2458,1.7593,78.73,27.757,0.685,32.5339,32.5389,4.3291,1025.3565,1025.3603,1482.64,1482.65,0.0000e+00
29.000,8.6497,8.6487,3.451881,3.452361,0.2553,1.7320,93.65,28.749,0.519,32.5649,32.5709,4.2542,1025.3980,1025.4029,1482.38,1482.38,0.0000e+00
30.000,8.6032,8.6027,3.449762,3.450266,0.2490,1.6984,99.12,29.740,0.390,32.5852,32.5909,4.1817,1025.4256,1025.4301,1482.25,1482.25,0.0000e+00
31.000,8.5418,8.5427,3.446323,3.446854,0.2624,1.6783,97.80,30.731,0.646,32.6053,32.6100,4.1263,1025.4552,1025.4587,1482.06,1482.07,0.0000e+00
32.000,8.4926,8.4930,3.444480,3.445038,0.2757,1.6617,83.36,31.722,0.536,32.6309,32.6365,4.0715,1025.4872,1025.4915,1481.92,1481.93,0.0000e+00
33.000,8.4827,8.4825,3.444842,3.445356,0.2607,1.6404,99.23,32.714,0.534,32.6435,32.6491,3.9763,1025.5031,1025.5076,1481.92,1481.92,0.0000e+00
34.000,8.4585,8.4586,3.444206,3.444715,0.2602,1.6200,98.85,33.705,0.653,32.6587,32.6640,3.9101,1025.5233,1025.5275,1481.86,1481.87,0.0000e+00
35.000,8.4359,8.4361,3.442979,3.443489,0.2507,1.6056,92.84,34.696,0.663,32.6663,32.6715,3.8893,1025.5372,1025.5413,1481.80,1481.81,0.0000e+00
36.000,8.4260,8.4251,3.442392,3.442848,0.2685,1.5931,88.98,35.687,0.554,32.6689,32.6744,3.8655,1025.5453,1025.5498,1481.79,1481.79,0.0000e+00
37.000,8.3421,8.3385,3.437223,3.437545,0.2574,1.5809,98.90,36.679,0.529,32.6917,32.6985,3.8414,1025.5803,1025.5862,1481.51,1481.51,0.0000e+00
38.000,8.2991,8.2989,3.434734,3.435229,0.2367,1.5708,98.85,37.670,0.591,32.7049,32.7104,3.8135,1025.6017,1025.6060,1481.39,1481.39,0.0000e+00
39.000,8.2810,8.2807,3.433861,3.434351,0.2449,1.5615,85.08,38.661,0.586,32.7120,32.7176,3.7762,1025.6145,1025.6189,1481.34,1481.35,0.0000e+00
40.000,8.2499,8.2488,3.432484,3.432929,0.2599,1.5511,98.96,39.652,0.580,32.7260,32.7318,3.7369,1025.6347,1025.6393,1481.26,1481.26,0.0000e+00
41.000,8.2338,8.2331,3.431854,3.432328,0.2629,1.5402,98.85,40.643,0.575,32.7339,32.7396,3.6974,1025.6478,1025.6524,1481.22,1481.23,0.0000e+00
42.000,8.2129,8.2128,3.431032,3.431516,0.2482,1.5295,98.85,41.635,0.618,32.7442,32.7494,3.6479,1025.6635,1025.6677,1481.18,1481.18,0.0000e+00
43.000,8.1855,8.1855,3.429930,3.430419,0.2696,1.5173,84.52,42.626,0.642,32.7576,32.7628,3.6126,1025.6827,1025.6868,1481.10,1481.11,0.0000e+00
44.000,8.1424,8.1418,3.428207,3.428669,0.2720,1.5087,98.73,43.617,0.589,32.7792,32.7846,3.6138,1025.7106,1025.7149,1480.98,1480.99,0.0000e+00
45.000,8.1002,8.0988,3.426430,3.426872,0.2554,1.5044,98.85,44.608,0.606,32.7993,32.8053,3.6549,1025.7372,1025.7420,1480.87,1480.87,0.0000e+00
46.000,8.0096,8.0096,3.423640,3.424128,0.2632,1.5066,72.53,45.599,0.650,32.8541,32.8592,3.6974,1025.7980,1025.8021,1480.61,1480.61,0.0000e+00
47.000,7.9636,7.9632,3.422194,3.422690,0.2390,1.5103,87.92,46.591,0.572,32.8814,32.8871,3.7035,1025.8307,1025.8353,1480.48,1480.49,0.0000e+00
48.000,7.9474,7.9473,3.421789,3.422292,0.2339,1.5096,91.47,47.582,0.502,32.8918,32.8973,3.6746,1025.8458,1025.8502,1480.45,1480.46,0.0000e+00
49.000,7.9359,7.9359,3.421572,3.422074,0.2035,1.5071,98.94,48.573,0.589,32.8998,32.9052,3.6723,1025.8584,1025.8626,1480.43,1480.44,0.0000e+00
50.000,7.9260,7.9263,3.421417,3.421915,0.2313,1.5066,98.85,49.564,0.616,32.9070,32.9121,3.6655,1025.8700,1025.8740,1480.42,1480.43,0.0000e+00
